layer,neuron,mean_abs_activation,activation_std,sharedness
0,1765,7.9165625,0.06703179632644496,118.09983968812674
1,283,5.39625,0.0321374003304561,167.9066146576754
0,1702,5.3115625,0.031701426919777606,167.54434963104902
0,550,3.975,0.030538781696393853,130.1581013091973
1,224,3.6659375,0.020820569006393654,176.06442141196493
6,725,3.56703125,0.23321897192807342,15.294707483714541
1,92,3.53640625,0.02548887241891057,138.73769910972138
0,1216,3.363125,0.04734761741629667,71.02900113071652
0,392,3.31765625,0.05280487186034542,62.827411670697074
0,1392,3.26921875,0.027319632220941414,119.66116755871138
0,284,3.23,0.05248139551307682,61.544446826844904
0,1707,3.19640625,0.01904135610158846,167.85770799304424
7,991,3.14578125,0.1470586451630352,21.391192985080867
0,174,3.145625,0.03116237715579477,100.93979815711587
0,1808,3.1246875,0.017113476962616333,182.57569348016585
0,1453,3.06328125,0.019184420559076053,159.66714102343994
0,1850,2.96578125,0.04000091551686662,74.14098079251961
0,198,2.88015625,0.056512192752427325,50.96431664403341
0,53,2.8140625,0.03817747413397068,73.70809242206163
15,338,2.8134375,0.13825820782597323,20.34900636448946
0,735,2.74125,0.03135295540296002,87.42916052439138
17,345,2.725625,0.05432109396910191,50.175256527303965
1,74,2.70921875,0.025184378683769427,107.57109448371885
4,1784,2.6859375,0.19795709565143152,13.568212460123133
0,87,2.68546875,0.03938336964617806,68.18615542474738
10,1112,2.67578125,0.03425939367075109,78.10129900183773
10,1189,2.65578125,0.06325539595313193,41.98439082694068
0,1734,2.6465625,0.01590069279151069,166.432752455946
0,1746,2.61640625,0.023939927259444625,109.28591953211983
4,1257,2.5840625,0.09547322514061207,27.0655508981011
2,2035,2.546875,0.03186887195995491,79.91481745518765
0,393,2.53953125,0.04787755990218695,53.04109512040695
0,907,2.533125,0.038099376635320426,66.48556323329628
17,1026,2.5328125,0.049484648819103486,51.18276834681473
0,1236,2.52171875,0.017243516671128892,146.23307791640866
0,1231,2.49875,0.017494418752848007,142.82310331058744
0,1406,2.48609375,0.08223249125003754,30.232131850523437
0,1530,2.46953125,0.02909566320240011,84.87334897550365
0,1527,2.45625,0.019640320453088334,125.05523780168188
17,2024,2.4475,0.05170529469986609,47.33466233089679
0,93,2.44609375,0.019056735808828856,128.35175041448528
14,1499,2.4378125,0.08769453820649266,27.798592150261907
4,990,2.43421875,0.09028208289681569,26.962069436442068
3,735,2.4028125,0.0192104911116296,125.07162958035396
4,6,2.3859375,0.056531414109767315,42.20476938004621
1,87,2.3753125,0.024703317717464594,96.14969039686471
17,1465,2.3671875,0.08960906849337293,26.41653488050915
15,783,2.34296875,0.19902257497973064,11.77231767763501
17,225,2.34109375,0.0968511815477101,24.171822591799444
4,1807,2.337890625,0.12990557248891163,17.996707789358034
4,1293,2.303359375,0.16184534220953617,14.231766647020851
4,60,2.286796875,0.16325057651482236,14.007808829903526
0,1373,2.2734375,0.033108781406901704,68.66362154617258
