case_id,relation_id,layer,head,baseline_margin,ablated_margin,margin_drop
1219,P190,0,0,-0.8125,-1.375,0.5625
1219,P190,0,1,-0.8125,-0.5,-0.3125
1219,P190,0,2,-0.8125,-0.0625,-0.75
1219,P190,0,3,-0.8125,-0.3125,-0.5
1219,P190,1,0,-0.8125,-0.75,-0.0625
1219,P190,1,1,-0.8125,-1.3125,0.5
1219,P190,1,2,-0.8125,-0.125,-0.6875
1219,P190,1,3,-0.8125,-0.75,-0.0625
1219,P190,2,0,-0.8125,-1.25,0.4375
1219,P190,2,1,-0.8125,-0.625,-0.1875
1219,P190,2,2,-0.8125,-0.5,-0.3125
1219,P190,2,3,-0.8125,-1.125,0.3125
1219,P190,3,0,-0.8125,-0.375,-0.4375
1219,P190,3,1,-0.8125,0.4375,-1.25
1219,P190,3,2,-0.8125,-0.875,0.0625
1219,P190,3,3,-0.8125,-0.8125,0.0
1219,P190,4,0,-0.8125,-0.0625,-0.75
1219,P190,4,1,-0.8125,-0.625,-0.1875
1219,P190,4,2,-0.8125,0.25,-1.0625
1219,P190,4,3,-0.8125,-1.46875,0.65625
1219,P190,5,0,-0.8125,-0.5,-0.3125
1219,P190,5,1,-0.8125,-0.8125,0.0
1219,P190,5,2,-0.8125,-0.8125,0.0
1219,P190,5,3,-0.8125,-0.625,-0.1875
1219,P190,6,0,-0.8125,-0.375,-0.4375
1219,P190,6,1,-0.8125,-0.1875,-0.625
1219,P190,6,2,-0.8125,-0.8125,0.0
1219,P190,6,3,-0.8125,-1.4375,0.625
1219,P190,7,0,-0.8125,0.0,-0.8125
1219,P190,7,1,-0.8125,-0.8125,0.0
1219,P190,7,2,-0.8125,-0.625,-0.1875
1219,P190,7,3,-0.8125,-0.9375,0.125
1219,P190,8,0,-0.8125,-0.3125,-0.5
1219,P190,8,1,-0.8125,-1.8125,1.0
1219,P190,8,2,-0.8125,-0.5,-0.3125
1219,P190,8,3,-0.8125,-1.0625,0.25
1219,P190,9,0,-0.8125,-0.125,-0.6875
1219,P190,9,1,-0.8125,-1.25,0.4375
1219,P190,9,2,-0.8125,0.125,-0.9375
1219,P190,9,3,-0.8125,-0.5625,-0.25
1219,P190,10,0,-0.8125,-1.4375,0.625
1219,P190,10,1,-0.8125,-0.1875,-0.625
1219,P190,10,2,-0.8125,-0.4375,-0.375
1219,P190,10,3,-0.8125,-0.25,-0.5625
1219,P190,11,0,-0.8125,-0.625,-0.1875
1219,P190,11,1,-0.8125,-0.5625,-0.25
1219,P190,11,2,-0.8125,-1.5625,0.75
1219,P190,11,3,-0.8125,-0.3125,-0.5
1219,P190,12,0,-0.8125,-1.0625,0.25
1219,P190,12,1,-0.8125,-0.5625,-0.25
1219,P190,12,2,-0.8125,-1.375,0.5625
1219,P190,12,3,-0.8125,-0.59375,-0.21875
1219,P190,13,0,-0.8125,-0.8125,0.0
1219,P190,13,1,-0.8125,-0.75,-0.0625
1219,P190,13,2,-0.8125,-1.3125,0.5
1219,P190,13,3,-0.8125,-0.5,-0.3125
1219,P190,14,0,-0.8125,-1.0,0.1875
1219,P190,14,1,-0.8125,-0.75,-0.0625
1219,P190,14,2,-0.8125,-1.0625,0.25
1219,P190,14,3,-0.8125,-0.5,-0.3125
1219,P190,15,0,-0.8125,-0.625,-0.1875
1219,P190,15,1,-0.8125,-0.375,-0.4375
1219,P190,15,2,-0.8125,-1.1875,0.375
1219,P190,15,3,-0.8125,-1.125,0.3125
1219,P190,16,0,-0.8125,-1.21875,0.40625
1219,P190,16,1,-0.8125,-0.25,-0.5625
1219,P190,16,2,-0.8125,-1.0,0.1875
1219,P190,16,3,-0.8125,-0.875,0.0625
1219,P190,17,0,-0.8125,-0.875,0.0625
1219,P190,17,1,-0.8125,-0.25,-0.5625
1219,P190,17,2,-0.8125,-0.625,-0.1875
1219,P190,17,3,-0.8125,-1.375,0.5625
17886,P140,0,0,6.6875,7.9375,-1.25
17886,P140,0,1,6.6875,6.5625,0.125
17886,P140,0,2,6.6875,8.0,-1.3125
17886,P140,0,3,6.6875,6.0625,0.625
17886,P140,1,0,6.6875,7.3125,-0.625
17886,P140,1,1,6.6875,6.9375,-0.25
17886,P140,1,2,6.6875,5.75,0.9375
17886,P140,1,3,6.6875,6.625,0.0625
17886,P140,2,0,6.6875,6.3125,0.375
17886,P140,2,1,6.6875,7.1875,-0.5
17886,P140,2,2,6.6875,7.4375,-0.75
17886,P140,2,3,6.6875,6.5,0.1875
17886,P140,3,0,6.6875,7.875,-1.1875
17886,P140,3,1,6.6875,7.3125,-0.625
17886,P140,3,2,6.6875,6.25,0.4375
17886,P140,3,3,6.6875,6.875,-0.1875
17886,P140,4,0,6.6875,7.0,-0.3125
17886,P140,4,1,6.6875,7.1875,-0.5
17886,P140,4,2,6.6875,6.375,0.3125
17886,P140,4,3,6.6875,7.5625,-0.875
17886,P140,5,0,6.6875,6.5625,0.125
17886,P140,5,1,6.6875,6.25,0.4375
17886,P140,5,2,6.6875,6.9375,-0.25
17886,P140,5,3,6.6875,7.25,-0.5625
17886,P140,6,0,6.6875,4.875,1.8125
17886,P140,6,1,6.6875,7.75,-1.0625
17886,P140,6,2,6.6875,6.6875,0.0
17886,P140,6,3,6.6875,6.9375,-0.25
17886,P140,7,0,6.6875,4.875,1.8125
17886,P140,7,1,6.6875,9.5625,-2.875
17886,P140,7,2,6.6875,5.8125,0.875
17886,P140,7,3,6.6875,5.4375,1.25
17886,P140,8,0,6.6875,5.8125,0.875
17886,P140,8,1,6.6875,7.0,-0.3125
17886,P140,8,2,6.6875,5.875,0.8125
17886,P140,8,3,6.6875,6.3125,0.375
17886,P140,9,0,6.6875,6.875,-0.1875
17886,P140,9,1,6.6875,7.4375,-0.75
17886,P140,9,2,6.6875,6.0,0.6875
17886,P140,9,3,6.6875,6.4375,0.25
17886,P140,10,0,6.6875,5.375,1.3125
17886,P140,10,1,6.6875,6.375,0.3125
17886,P140,10,2,6.6875,6.4375,0.25
17886,P140,10,3,6.6875,9.25,-2.5625
17886,P140,11,0,6.6875,6.25,0.4375
17886,P140,11,1,6.6875,6.125,0.5625
17886,P140,11,2,6.6875,5.4375,1.25
17886,P140,11,3,6.6875,8.375,-1.6875
17886,P140,12,0,6.6875,7.5,-0.8125
17886,P140,12,1,6.6875,6.6875,0.0
17886,P140,12,2,6.6875,4.125,2.5625
17886,P140,12,3,6.6875,7.5625,-0.875
17886,P140,13,0,6.6875,6.875,-0.1875
17886,P140,13,1,6.6875,6.375,0.3125
17886,P140,13,2,6.6875,6.9375,-0.25
17886,P140,13,3,6.6875,6.5625,0.125
17886,P140,14,0,6.6875,6.625,0.0625
17886,P140,14,1,6.6875,6.6875,0.0
17886,P140,14,2,6.6875,6.5,0.1875
17886,P140,14,3,6.6875,7.125,-0.4375
17886,P140,15,0,6.6875,6.8125,-0.125
17886,P140,15,1,6.6875,8.0625,-1.375
17886,P140,15,2,6.6875,6.1875,0.5
17886,P140,15,3,6.6875,4.9375,1.75
17886,P140,16,0,6.6875,7.0625,-0.375
17886,P140,16,1,6.6875,6.375,0.3125
17886,P140,16,2,6.6875,6.6875,0.0
17886,P140,16,3,6.6875,6.6875,0.0
17886,P140,17,0,6.6875,6.8125,-0.125
17886,P140,17,1,6.6875,7.125,-0.4375
17886,P140,17,2,6.6875,6.625,0.0625
17886,P140,17,3,6.6875,6.5,0.1875
20899,P39,0,0,3.546875,3.875,-0.328125
20899,P39,0,1,3.546875,3.328125,0.21875
20899,P39,0,2,3.546875,3.390625,0.15625
20899,P39,0,3,3.546875,3.5,0.046875
20899,P39,1,0,3.546875,3.734375,-0.1875
20899,P39,1,1,3.546875,3.453125,0.09375
20899,P39,1,2,3.546875,3.59375,-0.046875
20899,P39,1,3,3.546875,3.546875,0.0
20899,P39,2,0,3.546875,3.359375,0.1875
20899,P39,2,1,3.546875,3.734375,-0.1875
20899,P39,2,2,3.546875,3.5625,-0.015625
20899,P39,2,3,3.546875,3.15625,0.390625
20899,P39,3,0,3.546875,3.609375,-0.0625
20899,P39,3,1,3.546875,2.546875,1.0
20899,P39,3,2,3.546875,3.421875,0.125
20899,P39,3,3,3.546875,3.5625,-0.015625
20899,P39,4,0,3.546875,3.0,0.546875
20899,P39,4,1,3.546875,3.53125,0.015625
20899,P39,4,2,3.546875,3.578125,-0.03125
20899,P39,4,3,3.546875,3.15625,0.390625
20899,P39,5,0,3.546875,3.375,0.171875
20899,P39,5,1,3.546875,3.125,0.421875
20899,P39,5,2,3.546875,3.65625,-0.109375
20899,P39,5,3,3.546875,3.296875,0.25
20899,P39,6,0,3.546875,2.703125,0.84375
20899,P39,6,1,3.546875,3.1640625,0.3828125
20899,P39,6,2,3.546875,3.46875,0.078125
20899,P39,6,3,3.546875,3.984375,-0.4375
20899,P39,7,0,3.546875,3.0703125,0.4765625
20899,P39,7,1,3.546875,4.9140625,-1.3671875
20899,P39,7,2,3.546875,3.375,0.171875
20899,P39,7,3,3.546875,3.046875,0.5
20899,P39,8,0,3.546875,3.67578125,-0.12890625
20899,P39,8,1,3.546875,3.4375,0.109375
20899,P39,8,2,3.546875,3.125,0.421875
20899,P39,8,3,3.546875,3.734375,-0.1875
20899,P39,9,0,3.546875,3.078125,0.46875
20899,P39,9,1,3.546875,4.09375,-0.546875
20899,P39,9,2,3.546875,2.328125,1.21875
20899,P39,9,3,3.546875,3.28125,0.265625
20899,P39,10,0,3.546875,4.0,-0.453125
20899,P39,10,1,3.546875,3.09375,0.453125
20899,P39,10,2,3.546875,3.40625,0.140625
20899,P39,10,3,3.546875,3.46875,0.078125
20899,P39,11,0,3.546875,3.90625,-0.359375
20899,P39,11,1,3.546875,3.1875,0.359375
20899,P39,11,2,3.546875,3.78125,-0.234375
20899,P39,11,3,3.546875,3.828125,-0.28125
20899,P39,12,0,3.546875,3.484375,0.0625
20899,P39,12,1,3.546875,3.65625,-0.109375
20899,P39,12,2,3.546875,3.78125,-0.234375
20899,P39,12,3,3.546875,3.359375,0.1875
20899,P39,13,0,3.546875,3.890625,-0.34375
20899,P39,13,1,3.546875,3.828125,-0.28125
20899,P39,13,2,3.546875,2.921875,0.625
20899,P39,13,3,3.546875,3.234375,0.3125
20899,P39,14,0,3.546875,3.0625,0.484375
20899,P39,14,1,3.546875,4.40625,-0.859375
20899,P39,14,2,3.546875,3.421875,0.125
20899,P39,14,3,3.546875,3.171875,0.375
20899,P39,15,0,3.546875,3.8359375,-0.2890625
20899,P39,15,1,3.546875,3.78125,-0.234375
20899,P39,15,2,3.546875,2.84375,0.703125
20899,P39,15,3,3.546875,3.234375,0.3125
20899,P39,16,0,3.546875,3.484375,0.0625
20899,P39,16,1,3.546875,3.5,0.046875
20899,P39,16,2,3.546875,3.828125,-0.28125
20899,P39,16,3,3.546875,3.390625,0.15625
20899,P39,17,0,3.546875,3.578125,-0.03125
20899,P39,17,1,3.546875,3.03125,0.515625
20899,P39,17,2,3.546875,3.5625,-0.015625
20899,P39,17,3,3.546875,3.703125,-0.15625
11953,P17,0,0,4.3125,4.625,-0.3125
11953,P17,0,1,4.3125,4.375,-0.0625
11953,P17,0,2,4.3125,4.75,-0.4375
11953,P17,0,3,4.3125,5.4375,-1.125
11953,P17,1,0,4.3125,3.6875,0.625
11953,P17,1,1,4.3125,4.0625,0.25
11953,P17,1,2,4.3125,4.0625,0.25
11953,P17,1,3,4.3125,5.5,-1.1875
11953,P17,2,0,4.3125,4.25,0.0625
11953,P17,2,1,4.3125,4.25,0.0625
11953,P17,2,2,4.3125,4.8125,-0.5
11953,P17,2,3,4.3125,5.1875,-0.875
11953,P17,3,0,4.3125,6.0,-1.6875
11953,P17,3,1,4.3125,3.625,0.6875
11953,P17,3,2,4.3125,4.375,-0.0625
11953,P17,3,3,4.3125,4.0625,0.25
11953,P17,4,0,4.3125,4.75,-0.4375
11953,P17,4,1,4.3125,4.375,-0.0625
11953,P17,4,2,4.3125,3.6875,0.625
11953,P17,4,3,4.3125,5.0,-0.6875
11953,P17,5,0,4.3125,4.375,-0.0625
11953,P17,5,1,4.3125,4.375,-0.0625
11953,P17,5,2,4.3125,4.6875,-0.375
11953,P17,5,3,4.3125,4.8125,-0.5
11953,P17,6,0,4.3125,4.625,-0.3125
11953,P17,6,1,4.3125,5.5,-1.1875
11953,P17,6,2,4.3125,4.375,-0.0625
11953,P17,6,3,4.3125,4.6875,-0.375
11953,P17,7,0,4.3125,4.1875,0.125
11953,P17,7,1,4.3125,3.5625,0.75
11953,P17,7,2,4.3125,4.25,0.0625
11953,P17,7,3,4.3125,4.5,-0.1875
11953,P17,8,0,4.3125,4.875,-0.5625
11953,P17,8,1,4.3125,3.5625,0.75
11953,P17,8,2,4.3125,4.75,-0.4375
11953,P17,8,3,4.3125,4.75,-0.4375
11953,P17,9,0,4.3125,4.25,0.0625
11953,P17,9,1,4.3125,5.0625,-0.75
11953,P17,9,2,4.3125,3.875,0.4375
11953,P17,9,3,4.3125,4.25,0.0625
11953,P17,10,0,4.3125,3.25,1.0625
11953,P17,10,1,4.3125,3.75,0.5625
11953,P17,10,2,4.3125,4.875,-0.5625
11953,P17,10,3,4.3125,4.8125,-0.5
11953,P17,11,0,4.3125,4.75,-0.4375
11953,P17,11,1,4.3125,4.5,-0.1875
11953,P17,11,2,4.3125,4.3125,0.0
11953,P17,11,3,4.3125,4.5625,-0.25
11953,P17,12,0,4.3125,4.25,0.0625
11953,P17,12,1,4.3125,4.4375,-0.125
11953,P17,12,2,4.3125,4.875,-0.5625
11953,P17,12,3,4.3125,4.3125,0.0
11953,P17,13,0,4.3125,4.4375,-0.125
11953,P17,13,1,4.3125,4.125,0.1875
11953,P17,13,2,4.3125,4.6875,-0.375
11953,P17,13,3,4.3125,3.8125,0.5
11953,P17,14,0,4.3125,4.5,-0.1875
11953,P17,14,1,4.3125,4.375,-0.0625
11953,P17,14,2,4.3125,4.0625,0.25
11953,P17,14,3,4.3125,4.375,-0.0625
11953,P17,15,0,4.3125,3.3125,1.0
11953,P17,15,1,4.3125,4.875,-0.5625
11953,P17,15,2,4.3125,4.5,-0.1875
11953,P17,15,3,4.3125,4.625,-0.3125
11953,P17,16,0,4.3125,3.625,0.6875
11953,P17,16,1,4.3125,4.875,-0.5625
11953,P17,16,2,4.3125,4.5625,-0.25
11953,P17,16,3,4.3125,4.25,0.0625
11953,P17,17,0,4.3125,5.3125,-1.0
11953,P17,17,1,4.3125,3.5,0.8125
11953,P17,17,2,4.3125,4.25,0.0625
11953,P17,17,3,4.3125,4.125,0.1875
12671,P364,0,0,7.21875,7.328125,-0.109375
12671,P364,0,1,7.21875,5.921875,1.296875
12671,P364,0,2,7.21875,6.5625,0.65625
12671,P364,0,3,7.21875,7.921875,-0.703125
12671,P364,1,0,7.21875,7.3984375,-0.1796875
12671,P364,1,1,7.21875,5.65625,1.5625
12671,P364,1,2,7.21875,7.3880615234375,-0.1693115234375
12671,P364,1,3,7.21875,7.15625,0.0625
12671,P364,2,0,7.21875,7.50390625,-0.28515625
12671,P364,2,1,7.21875,7.28125,-0.0625
12671,P364,2,2,7.21875,6.96875,0.25
12671,P364,2,3,7.21875,8.1015625,-0.8828125
12671,P364,3,0,7.21875,6.642578125,0.576171875
12671,P364,3,1,7.21875,6.78125,0.4375
12671,P364,3,2,7.21875,7.28125,-0.0625
12671,P364,3,3,7.21875,6.875,0.34375
12671,P364,4,0,7.21875,7.5625,-0.34375
12671,P364,4,1,7.21875,7.09765625,0.12109375
12671,P364,4,2,7.21875,6.8359375,0.3828125
12671,P364,4,3,7.21875,6.15625,1.0625
12671,P364,5,0,7.21875,7.3125,-0.09375
12671,P364,5,1,7.21875,7.0,0.21875
12671,P364,5,2,7.21875,6.3828125,0.8359375
12671,P364,5,3,7.21875,7.5,-0.28125
12671,P364,6,0,7.21875,6.640625,0.578125
12671,P364,6,1,7.21875,7.7109375,-0.4921875
12671,P364,6,2,7.21875,5.984375,1.234375
12671,P364,6,3,7.21875,6.9375,0.28125
12671,P364,7,0,7.21875,5.9140625,1.3046875
12671,P364,7,1,7.21875,8.890625,-1.671875
12671,P364,7,2,7.21875,6.53125,0.6875
12671,P364,7,3,7.21875,6.77734375,0.44140625
12671,P364,8,0,7.21875,5.7578125,1.4609375
12671,P364,8,1,7.21875,6.6875,0.53125
12671,P364,8,2,7.21875,6.984375,0.234375
12671,P364,8,3,7.21875,7.625,-0.40625
12671,P364,9,0,7.21875,7.2890625,-0.0703125
12671,P364,9,1,7.21875,7.984375,-0.765625
12671,P364,9,2,7.21875,6.3359375,0.8828125
12671,P364,9,3,7.21875,7.1796875,0.0390625
12671,P364,10,0,7.21875,6.40625,0.8125
12671,P364,10,1,7.21875,7.28125,-0.0625
12671,P364,10,2,7.21875,7.0703125,0.1484375
12671,P364,10,3,7.21875,7.703125,-0.484375
12671,P364,11,0,7.21875,6.25,0.96875
12671,P364,11,1,7.21875,7.578125,-0.359375
12671,P364,11,2,7.21875,5.5625,1.65625
12671,P364,11,3,7.21875,7.84375,-0.625
12671,P364,12,0,7.21875,7.2578125,-0.0390625
12671,P364,12,1,7.21875,7.125,0.09375
12671,P364,12,2,7.21875,6.109375,1.109375
12671,P364,12,3,7.21875,8.109375,-0.890625
12671,P364,13,0,7.21875,7.5,-0.28125
12671,P364,13,1,7.21875,7.2265625,-0.0078125
12671,P364,13,2,7.21875,6.90625,0.3125
12671,P364,13,3,7.21875,6.8203125,0.3984375
12671,P364,14,0,7.21875,7.078125,0.140625
12671,P364,14,1,7.21875,7.140625,0.078125
12671,P364,14,2,7.21875,7.3515625,-0.1328125
12671,P364,14,3,7.21875,7.28125,-0.0625
12671,P364,15,0,7.21875,6.8203125,0.3984375
12671,P364,15,1,7.21875,7.453125,-0.234375
12671,P364,15,2,7.21875,7.46875,-0.25
12671,P364,15,3,7.21875,6.7919921875,0.4267578125
12671,P364,16,0,7.21875,7.2890625,-0.0703125
12671,P364,16,1,7.21875,7.515625,-0.296875
12671,P364,16,2,7.21875,6.6484375,0.5703125
12671,P364,16,3,7.21875,7.234375,-0.015625
12671,P364,17,0,7.21875,7.6015625,-0.3828125
12671,P364,17,1,7.21875,6.84375,0.375
12671,P364,17,2,7.21875,7.3359375,-0.1171875
12671,P364,17,3,7.21875,6.984375,0.234375
5362,P178,0,0,5.875,5.75,0.125
5362,P178,0,1,5.875,6.0625,-0.1875
5362,P178,0,2,5.875,6.375,-0.5
5362,P178,0,3,5.875,5.875,0.0
5362,P178,1,0,5.875,6.1875,-0.3125
5362,P178,1,1,5.875,6.0,-0.125
5362,P178,1,2,5.875,5.1875,0.6875
5362,P178,1,3,5.875,6.0,-0.125
5362,P178,2,0,5.875,5.3125,0.5625
5362,P178,2,1,5.875,5.875,0.0
5362,P178,2,2,5.875,5.875,0.0
5362,P178,2,3,5.875,5.8125,0.0625
5362,P178,3,0,5.875,6.125,-0.25
5362,P178,3,1,5.875,6.125,-0.25
5362,P178,3,2,5.875,5.25,0.625
5362,P178,3,3,5.875,5.3125,0.5625
5362,P178,4,0,5.875,5.75,0.125
5362,P178,4,1,5.875,6.1875,-0.3125
5362,P178,4,2,5.875,5.625,0.25
5362,P178,4,3,5.875,5.3125,0.5625
5362,P178,5,0,5.875,5.8125,0.0625
5362,P178,5,1,5.875,5.625,0.25
5362,P178,5,2,5.875,6.0,-0.125
5362,P178,5,3,5.875,6.0,-0.125
5362,P178,6,0,5.875,6.0,-0.125
5362,P178,6,1,5.875,6.25,-0.375
5362,P178,6,2,5.875,5.6875,0.1875
5362,P178,6,3,5.875,5.8125,0.0625
5362,P178,7,0,5.875,6.375,-0.5
5362,P178,7,1,5.875,5.25,0.625
5362,P178,7,2,5.875,5.5,0.375
5362,P178,7,3,5.875,5.875,0.0
5362,P178,8,0,5.875,5.5,0.375
5362,P178,8,1,5.875,6.0,-0.125
5362,P178,8,2,5.875,6.0,-0.125
5362,P178,8,3,5.875,6.75,-0.875
5362,P178,9,0,5.875,6.1875,-0.3125
5362,P178,9,1,5.875,4.875,1.0
5362,P178,9,2,5.875,6.6875,-0.8125
5362,P178,9,3,5.875,6.1875,-0.3125
5362,P178,10,0,5.875,6.0625,-0.1875
5362,P178,10,1,5.875,5.4375,0.4375
5362,P178,10,2,5.875,7.0625,-1.1875
5362,P178,10,3,5.875,5.5,0.375
5362,P178,11,0,5.875,5.875,0.0
5362,P178,11,1,5.875,5.8125,0.0625
5362,P178,11,2,5.875,5.25,0.625
5362,P178,11,3,5.875,5.9375,-0.0625
5362,P178,12,0,5.875,5.75,0.125
5362,P178,12,1,5.875,6.6875,-0.8125
5362,P178,12,2,5.875,5.375,0.5
5362,P178,12,3,5.875,5.9375,-0.0625
