case_id,relation_id,layer,salience_norm
6808,P131,0,2.7042038440704346
6808,P131,1,2.5292084217071533
6808,P131,2,2.2743492126464844
6808,P131,3,0.5635478496551514
6808,P131,4,0.4193694591522217
6808,P131,5,0.3558703362941742
6808,P131,6,0.30296775698661804
6808,P131,7,0.2907106876373291
6808,P131,8,0.29303595423698425
6808,P131,9,0.28084006905555725
6808,P131,10,0.24474762380123138
6808,P131,11,0.17137280106544495
6808,P131,12,0.15658926963806152
6808,P131,13,0.14614808559417725
6808,P131,14,0.13113699853420258
6808,P131,15,0.11341118067502975
6808,P131,16,0.10563889890909195
6808,P131,17,0.06697746366262436
4876,P937,0,1.542340636253357
4876,P937,1,1.412896752357483
4876,P937,2,1.325634479522705
4876,P937,3,0.41858720779418945
4876,P937,4,0.30773454904556274
4876,P937,5,0.2966659963130951
4876,P937,6,0.2661520838737488
4876,P937,7,0.2507665455341339
4876,P937,8,0.2454960197210312
4876,P937,9,0.23515281081199646
4876,P937,10,0.17693735659122467
4876,P937,11,0.15263496339321136
4876,P937,12,0.12738505005836487
4876,P937,13,0.12313216924667358
4876,P937,14,0.1090901717543602
4876,P937,15,0.09619827568531036
4876,P937,16,0.08181366324424744
4876,P937,17,0.06106368452310562
17517,P1303,0,8.633323669433594
17517,P1303,1,6.036768913269043
17517,P1303,2,4.917016983032227
17517,P1303,3,2.1906628608703613
17517,P1303,4,1.4231911897659302
17517,P1303,5,0.9626710414886475
17517,P1303,6,0.6613974571228027
17517,P1303,7,0.579429030418396
17517,P1303,8,0.557974636554718
17517,P1303,9,0.5377545952796936
17517,P1303,10,0.4552323818206787
17517,P1303,11,0.22952605783939362
17517,P1303,12,0.19054867327213287
17517,P1303,13,0.1771111786365509
17517,P1303,14,0.14453406631946564
17517,P1303,15,0.1272081434726715
17517,P1303,16,0.10558806359767914
17517,P1303,17,0.06631579995155334
2348,P30,0,1.2249269485473633
2348,P30,1,1.1629610061645508
2348,P30,2,1.1511086225509644
2348,P30,3,0.36908629536628723
2348,P30,4,0.24116292595863342
2348,P30,5,0.21148020029067993
2348,P30,6,0.17742346227169037
2348,P30,7,0.17270688712596893
2348,P30,8,0.17244073748588562
2348,P30,9,0.1529172956943512
2348,P30,10,0.14941033720970154
2348,P30,11,0.13095426559448242
2348,P30,12,0.13367518782615662
2348,P30,13,0.12136168032884598
2348,P30,14,0.11469036340713501
2348,P30,15,0.10651587694883347
2348,P30,16,0.08760212361812592
2348,P30,17,0.05479675158858299
731,P176,0,4.366645812988281
731,P176,1,3.6329891681671143
731,P176,2,3.172783851623535
731,P176,3,1.1897544860839844
731,P176,4,0.862151563167572
731,P176,5,0.7390628457069397
731,P176,6,0.6686940789222717
731,P176,7,0.5909745097160339
731,P176,8,0.5731795430183411
731,P176,9,0.5059266686439514
731,P176,10,0.4560888409614563
731,P176,11,0.3167911171913147
731,P176,12,0.2754417061805725
731,P176,13,0.25495296716690063
731,P176,14,0.2215311974287033
731,P176,15,0.19024501740932465
731,P176,16,0.13587908446788788
731,P176,17,0.08863779157400131
14527,P106,0,1.9931443929672241
14527,P106,1,1.8896888494491577
14527,P106,2,1.746652364730835
14527,P106,3,0.4061810076236725
14527,P106,4,0.3570247292518616
14527,P106,5,0.3727515935897827
14527,P106,6,0.3162563145160675
14527,P106,7,0.3399010896682739
14527,P106,8,0.3452184796333313
14527,P106,9,0.2832534611225128
14527,P106,10,0.2826699912548065
14527,P106,11,0.19936080276966095
14527,P106,12,0.187667578458786
14527,P106,13,0.1635705679655075
14527,P106,14,0.14263276755809784
14527,P106,15,0.10961471498012543
14527,P106,16,0.09193652868270874
14527,P106,17,0.05665872246026993
