model_name,fact_id,relation,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,0,4.159600734710693,0.466418981552124,0.13086116313934326
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,1,7.581067085266113,2.71415376663208,0.16882401704788208
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,2,7.665626049041748,1.5167062282562256,0.17076349258422852
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,3,9.04946231842041,1.7283496856689453,0.19332174956798553
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,4,10.45126724243164,2.7027339935302734,0.2102363258600235
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,5,11.321019172668457,2.8789114952087402,0.21101319789886475
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,6,13.181669235229492,1.7385598421096802,0.22082023322582245
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,7,13.866802215576172,2.79701828956604,0.22166351974010468
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,8,13.965677261352539,3.434779167175293,0.2068154662847519
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,9,14.548630714416504,2.696361780166626,0.20341292023658752
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,10,14.644451141357422,3.9932098388671875,0.19351564347743988
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,11,14.453655242919922,2.451385736465454,0.19460348784923553
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,12,15.200959205627441,2.9939005374908447,0.19743864238262177
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,13,16.37263298034668,2.791269063949585,0.1938745081424713
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,14,16.45231819152832,3.5010743141174316,0.21168583631515503
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,15,17.691883087158203,3.377952814102173,0.23492677509784698
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,16,21.507253646850586,1.471138596534729,0.266959011554718
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,17,25.13533592224121,3.935385227203369,0.24666881561279297
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,18,28.84563446044922,1.751222014427185,0.24447669088840485
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,19,32.08877182006836,3.6460819244384766,0.27421876788139343
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,20,46.05075454711914,10.097980499267578,0.2875111997127533
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,21,65.03160095214844,13.923015594482422,0.26582422852516174
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,22,72.884765625,5.999776840209961,0.3035241365432739
qwen2_5_0_5b_instruct,capital:0,capital,raw_question,23,281.13165283203125,11.18799114227295,0.3656213581562042
qwen2_5_0_5b_instruct,capital:0,capital,declarative,0,4.622630596160889,0.4399401545524597,0.1361115425825119
qwen2_5_0_5b_instruct,capital:0,capital,declarative,1,7.551871299743652,2.7144336700439453,0.1626807302236557
