layer,neuron,mean_abs_activation,activation_std,family_mean_std,sharedness,family_sensitivity,invariance_score,prompt_sensitive_score
0,1765,1.92779541015625,3.2020612758909035,3.2014026867023153,0.6020480690432178,1.6606539310044872,0.2262782325907091,6.171649405486611
0,1165,2.784423828125,1.6568862664563828,1.6550172320560765,1.6805149538508446,0.5943838796935833,1.054021541019227,4.608269416894422
0,1392,4.1123046875,0.9181302841584983,0.9174340821579393,4.478994190105483,0.2230948163573113,3.662017147162042,3.772768476530354
1,283,1.84844970703125,1.9897574910030538,1.9888577880682219,0.9289819419739886,1.0759593320519085,0.44749525081291897,3.676303595681525
15,338,2.304931640625,1.4641377082650322,1.4533590107838228,1.5742577035998773,0.6305429430639384,0.9654806764191711,3.3498931691430838
0,1702,4.8828125,0.682666782220195,0.6810555556794724,7.152545684988904,0.1394801492376214,6.277025264349162,3.325466580466174
15,783,2.0586700439453125,1.258711753225416,1.2489052339855085,1.635536017784859,0.6066560452475499,1.017975205472718,2.5710837929324777
0,1516,2.465087890625,1.0353538180695312,1.0333462707929932,2.380911208025549,0.41919229554882215,1.677652292429347,2.54728937895431
4,723,1.522705078125,1.5456496211372721,1.5277628799155227,0.9851547673850194,1.0033209309814732,0.4917608318016072,2.326332295418241
0,550,1.929473876953125,1.199658378123778,1.1983056657853959,1.6083514305291804,0.6210527434685577,0.9921647750262584,2.3120994787378435
0,451,2.2353515625,1.0238022481885827,1.0232115051946948,2.1833800258545892,0.4577405472228253,1.4977836968411122,2.287237436904938
6,725,1.1460762023925781,1.928244705431395,1.9183515098729105,0.5943621184605068,1.6738414356974505,0.22228772077708195,2.1985770132892135
17,225,1.8613739013671875,1.1268981980329376,1.122372157028493,1.6517661070451686,0.6029801713798258,1.0304345222332651,2.0891542407140316
0,1679,2.7587890625,0.6903841038700593,0.6878959209318427,3.99601475616317,0.24934696201873197,3.1984827895257304,1.8977597428051325
3,753,1.5546798706054688,1.181933612376513,1.181241346591008,1.3153687643341605,0.7597966688372354,0.747454968876191,1.8364521438719381
0,1907,1.411376953125,1.2911106599810416,1.2909252002345277,1.0931486383956321,0.914655920036322,0.5709373819891851,1.8219820758192882
