layer,neuron,mean_abs_activation,activation_std,family_mean_std,sharedness,family_sensitivity,invariance_score,prompt_sensitive_score
6,156,0.275634765625,0.0029113193722195003,0.0024144014287257967,94.64441580627081,0.008759390942068703,93.82258708678141,0.0006654929719315001
12,490,0.27518310546875,0.0034498849918711875,0.0015294879194757067,79.74276341198387,0.005558053278078577,79.30199867827191,0.00042088923545826245
17,2550,0.2759765625,0.0036198736314161464,0.0011166598267606672,76.21822537674805,0.004046197874367657,75.91107414988184,0.00030817194047125446
2,1170,0.27562255859375,0.003688846891727785,0.0014254028654317684,74.69755973118133,0.0051715567156315305,74.31324457215383,0.00039287318479716674
14,449,0.2745361328125,0.003723044472272268,0.002018114312298093,73.71988569325238,0.007350970310003201,73.18192751684722,0.0005540452988718763
8,2286,0.2752685546875,0.0040423524543480045,0.0008232282861370714,68.07928761973024,0.002990625995932031,67.87629500737363,0.00022660886050281933
17,29,0.27391357421875,0.0041647091876896684,0.0035509454502458807,65.75436783446335,0.01296369665752094,64.91285724397945,0.0009726521601326577
1,538,0.27454833984375,0.004181135408117051,0.0033884352895505554,65.64788392812025,0.012341808184565161,64.84754793032478,0.0009302892834140813
17,1709,0.275634765625,0.004311000839824414,0.001372843351514605,63.92270685091609,0.004980643017794528,63.605908526722,0.00037840335543456766
13,1021,0.2748779296875,0.004337122299943293,0.001581646907885291,63.36334263584343,0.00575397652225803,63.00083729715301,0.0004347598275361448
9,2221,0.273974609375,0.004480229924296362,0.00035040771714861475,61.13826204041945,0.0012789741318505455,61.06016766548883,9.600281742777722e-05
12,241,0.2736572265625,0.004496365138794303,0.002336745922832346,60.848345223724635,0.00853892079980524,60.333165105289,0.0006394674084235295
0,566,0.27222900390625,0.0045116335377758604,0.0039388252026428495,60.32597188036309,0.014468740205430458,59.46557985428615,0.0010722624614762962
10,2071,0.27388916015625,0.004576432133175894,0.0020433199345438317,59.83467415522803,0.007460362699332281,59.39159134252228,0.0005596431808027338
8,1093,0.2745361328125,0.004635779834479534,0.0021618511042248837,59.20836067544621,0.007874530785973343,58.745765337748544,0.0005935062418703325
4,2073,0.2753173828125,0.004708244199106021,0.0018840001582734799,58.463178202728336,0.006842987159184863,58.065834443245855,0.0005186979927941903
12,768,0.27401123046875,0.004711835000753479,0.0022157358999973192,58.141486053498916,0.008086266427622162,57.675109749819526,0.0006071365203520485
0,1197,0.2697021484375,0.004639378544033817,0.003578388720792815,58.1207213761168,0.013267878931053924,57.35968008522209,0.0009650991259423395
16,2305,0.273046875,0.00489159366655007,0.002818317754045582,55.80820595562239,0.010321698178554153,55.23805541961092,0.0007695328554991649
12,2424,0.272265625,0.004893542897018576,0.0026955159428428653,55.62636404021421,0.009900280443270876,55.08104623537523,0.000733896332875577
18,1466,0.27396240234375,0.005082451371252532,0.0015019609825613314,53.89299165780105,0.005482341691306551,53.59914284237798,0.0004114808390090816
17,982,0.27376708984375,0.0050754099703783934,0.0024375885678364017,53.92927116628122,0.00890384474402268,53.45333100595336,0.000667331528452966
2,1797,0.27471923828125,0.0050886631706774195,0.0029843882215916033,53.97591727954871,0.010863372281063181,53.395858193723434,0.0008198688589711796
16,755,0.2744873046875,0.005244820264822285,0.001418749045485114,52.324954121698056,0.005168704900197239,52.055892574663254,0.00038942860152317224
13,290,0.27530517578125,0.005354853265677126,0.001281389461463635,51.402673322948836,0.004654415970972582,51.164532306633504,0.00035277315093248734
2,1291,0.2744384765625,0.005317503872588859,0.004683747378924545,51.60069131037655,0.017066594928655913,50.73482067710244,0.0012854004952756544
7,1994,0.274560546875,0.0054440622303676125,0.002115165392313526,50.423766572170756,0.007703793252871278,50.03828199296806,0.0005807409668446756
14,854,0.2732421875,0.005455655360727901,0.0011784685923971858,50.07503121171104,0.004312892859944352,49.85999041505307,0.00032200733608665294
13,1846,0.27169189453125,0.005500903293819877,0.003040188029334348,49.38143766293263,0.011189795870736942,48.83498415884449,0.0008259944454210764
15,1596,0.274163818359375,0.005595292880213776,0.002223984078668477,48.99025555447735,0.008111850718035168,48.596051638103134,0.0006097359669782063
8,346,0.27371826171875,0.005617768089202499,0.0024295059087178577,48.714995417723365,0.008875904068505802,48.28640987585275,0.0006650001341696842
17,1887,0.27398681640625,0.005644547617535471,0.003348622524260125,48.531486220260994,0.012221793538786491,47.9455061430678,0.0009174784247682924
13,722,0.2720703125,0.005617569147761582,0.003455948309812048,48.42341623728024,0.012702362031689937,47.8160395914678,0.0009402609366344108
16,1958,0.27540283203125,0.005767082691713033,0.0024785684830941446,47.74599234281427,0.0089997603330839,47.32012258065622,0.0006826047796275268
3,117,0.27265625,0.005827550292123313,0.0038396110270110953,46.77942821707602,0.014082189367827541,46.1298193652706,0.001046893944083494
14,146,0.27225341796875,0.005851626040593713,0.0023017619039493575,46.51816399688021,0.008454451983267941,46.12817555160343,0.0006266625457004702
14,1396,0.27333984375,0.005943407833868338,0.002875267679772918,45.98268681913829,0.010518982967663128,45.50403069529447,0.0007859252183285544
13,1377,0.2736572265625,0.005968177248651859,0.004021952827370468,45.845049520736815,0.014696992222347483,45.18102435716192,0.0011006364561034078
6,506,0.271435546875,0.005991949084138171,0.0029449067582555835,45.29248339409751,0.010849337689267581,44.80636402021396,0.0007993523764229876
18,2465,0.27342529296875,0.006104479904296701,0.0022557259392184913,44.78358740912869,0.008249850132285191,44.41715255722871,0.0006167725257880248
1,1050,0.2739013671875,0.006154038937465006,0.0028050684763120007,44.500346784208666,0.01024112535103353,44.049233066755136,0.0007683120907164145
12,1498,0.273553466796875,0.0062333570858771415,0.0030639101304720208,43.87837639530836,0.01120036593205073,43.39236601725759,0.0008381432381446868
2,1392,0.27269287109375,0.006388360608645849,0.0034718436458624283,42.67921123825003,0.012731652647480426,42.14266545997467,0.0009467470117788182
14,1049,0.27064208984375,0.006353745107789594,0.00503905008004011,42.588976466105485,0.018618801917127455,41.81051477348484,0.001363779044489371
