layer,neuron,mean_abs_activation,activation_std,family_mean_std,sharedness,family_sensitivity,invariance_score,prompt_sensitive_score
0,1765,1.8520523071289063,3.088052953636816,3.0819147027766585,0.5997473926735429,1.6640529140893414,0.2251259310585262,5.707867235652008
0,1165,2.7318359375,1.776556333398643,1.7537456508590703,1.537713355005471,0.6419657142728235,0.936507590651171,4.790945394251136
15,338,2.3949951171875,1.5488073092164643,1.5228806188946729,1.5463470223756213,0.6358593268547872,0.9452811724029668,3.6472916463122194
1,283,1.8327484130859375,1.9682884780755878,1.9662031165664011,0.9311376367656196,1.0728161212479985,0.4492138145881465,3.6035556416916963
0,1392,4.133203125,0.8800495168452793,0.8713628543132609,4.6965521250033575,0.2108201840414211,3.8788188262004493,3.6015196724564893
0,1702,4.8802734375,0.6679068125067081,0.6569437773873417,7.306806936699792,0.13461205630965947,6.439916530118036,3.2060652667143565
15,783,2.104742431640625,1.2955381459038284,1.282151846106978,1.6246073600286766,0.6091725133013264,1.0095917911844545,2.6985993943077173
6,725,1.2685226440429687,2.052228071335918,2.018501148793621,0.6181194203711439,1.5912207535685858,0.23854371323627294,2.560514414271454
0,1516,2.411962890625,1.0036215898838563,0.9625010044538532,2.4032568765756093,0.3990528250422709,1.7177742209290756,2.3215167049319816
0,451,2.21865234375,1.0389938400644019,1.0334332053825166,2.1353834092308657,0.46579300380283506,1.4568110256297129,2.2928290032309957
0,550,1.91533203125,1.1898962839593206,1.1867934323405875,1.6096616548924572,0.619627716421751,0.9938466961090837,2.273103475439057
17,225,1.8574206352233886,1.101369284976523,1.094897548107757,1.6864633634663402,0.5894717318591348,1.0610213001358373,2.0336852993108407
3,753,1.54649658203125,1.2158326154645573,1.212208831067886,1.271963994382858,0.7838414008224366,0.7130476923545005,1.8746768139545826
1,92,2.57294921875,0.726633842001036,0.7226060674615872,3.5409108812681067,0.28084727881468546,2.7645066978983763,1.8592287167393005
12,519,1.73717041015625,1.0759998439500433,1.0621309634557892,1.6144693751159396,0.6114140246875556,1.0018960679140028,1.8451024814261463
0,1907,1.4389404296875,1.2812896015280886,1.278004834651757,1.1230398693094257,0.8881562572906848,0.5947812131401008,1.8389728259165015
0,141,2.6484375,0.6807350942581758,0.6741519828615011,3.8905495423833867,0.25454696526330556,3.1011589443100953,1.785449392109757
0,859,1.5980436325073242,1.0951815954850694,1.0867295978900224,1.459157257516069,0.6800370751753968,0.8685268194832737,1.7366413141653951
0,1679,2.6298828125,0.7373302975684658,0.6536026809450634,3.5667586893065515,0.24852910909540926,2.856768547343488,1.7188984568213435
0,93,1.807208251953125,0.9433751026169368,0.9415449281501549,1.9156816109077888,0.5209938622949107,1.2594933210429684,1.7015677637375721
0,216,2.4818359375,0.7176247720191432,0.6850193561130311,3.458398561296089,0.27601303927850457,2.7103160037075873,1.700105655884431
17,1465,1.6385787963867187,1.0210487976945164,1.0012279321443973,1.6047981206073931,0.611033978541805,0.9961292821768688,1.6405908599619299
1,224,1.1000732421875,1.2969706063476614,1.289530614531275,0.8481860642156714,1.1722214420428942,0.39046942811594,1.4185781240274589
0,427,1.4144607543945313,0.9923969840524128,0.9893741341329151,1.4252958763767778,0.699470403536236,0.8386706078617436,1.3994308841440792
10,1542,1.5008056640625,0.9311439341748962,0.9173402996904751,1.611785243070017,0.6112314941401894,1.0003436805523238,1.3767495176482563
1,1556,1.497332763671875,0.9150408549377734,0.914528197861523,1.6363543979894775,0.6107711053137864,1.0158826369502745,1.3693530339598534
15,633,1.632530975341797,0.829803846512506,0.8097754677066881,1.9673673661981834,0.49602426166087715,1.3150638105387569,1.3219835341030592
0,149,2.121875,0.6200470248201191,0.6141849929511517,3.4221139574076913,0.2894537630620977,2.653925294134714,1.303223781918225
10,193,1.4253814697265625,0.9659439511083328,0.913788036130729,1.4756342668296663,0.6410826957244852,0.8991833688053248,1.3024965339585677
0,1707,2.17568359375,0.6080890800947213,0.5928891255390801,3.577896869179476,0.27250692827547174,2.8116914648380873,1.2899391433481608
10,288,2.59482421875,0.5484210063486515,0.4933007139728544,4.731437084419944,0.1901094187031569,3.975631996573655,1.280028639743429
12,903,1.4853317260742187,0.8393617301214175,0.8303967603414895,1.769594565938565,0.5590644747566118,1.1350361672597404,1.2334146533644639
