layer,neuron,mean_abs_activation,activation_std,family_mean_std,sharedness,family_sensitivity,invariance_score,prompt_sensitive_score
8,4766,0.2774658203125,0.00145974862586687,0.0009118578807120639,189.94768531638363,0.003286367284149774,189.32549221272018,0.00025300939488019056
9,2519,0.276611328125,0.0017840650299262802,0.0007258822630526537,154.9586841306412,0.0026241862319478057,154.5531079925424,0.00020078725684537517
15,1024,0.277001953125,0.0020664164032713683,0.0005545808931445643,133.98459675887597,0.002002075742832622,133.71688542615712,0.00015361999056685122
9,1736,0.2761474609375,0.0021282285959177256,0.0010039494724097616,129.6936653335133,0.003635542523037936,129.2238664719631,0.00027723809771549836
0,308,0.275048828125,0.0022005184256335426,0.0016608741554389502,124.93596461535302,0.006038448257761298,124.18607343657173,0.0004568214901165823
1,2084,0.2763916015625,0.0022901119391389203,0.0009376398618003766,120.63644592868629,0.003392420261974163,120.2285800576304,0.00025915578309184723
9,568,0.276025390625,0.002688208907910314,0.0005960232234244952,102.64185493848049,0.0021592979644987353,102.42069813347834,0.0001645175430673179
1,3191,0.27607421875,0.0026762089074306114,0.002109239361958506,103.12016293676378,0.007640089434714995,102.33828925426545,0.0005823066090094429
9,3105,0.2765380859375,0.002791222513271075,0.0012106519793181093,99.03869932397937,0.00437786931714863,98.60701071730435,0.0003347913810970758
0,918,0.27666015625,0.0028151436143358547,0.00129739553277211,98.24078390094681,0.004689474844816095,97.78223656231796,0.000358937650814784
13,296,0.275732421875,0.0028265538356262313,0.00028887108315916565,97.51624121205539,0.0010476462417752224,97.41418560660904,7.965112336913128e-05
9,3468,0.2761962890625,0.002957126550385958,0.0012999198742162333,93.36865220538438,0.0047064903447407765,92.93127207065935,0.0003590330453371154
13,967,0.276220703125,0.003069188501917524,0.001204976824145814,89.96864620933958,0.004362353900918929,89.57787581334918,0.00033283954561488625
11,1106,0.27509765625,0.003195911752334685,0.0021628158779638785,86.05106351437378,0.007861964531002245,85.37981047277314,0.0005949855789281489
11,2609,0.2745361328125,0.003221823844910562,0.0007974845200713368,85.18496387757698,0.00290483298889842,84.93823249779865,0.00021893831611821733
13,574,0.273974609375,0.003208940390751514,0.0018039993361241467,85.35193057303374,0.006584525316831944,84.79360493463618,0.0004942500134273724
8,3763,0.2755126953125,0.003316630397451356,0.0015197631345201072,83.04502379895969,0.005516107403649477,82.58945151399998,0.00041871403742820825
15,386,0.273681640625,0.003317079653179451,0.0012477472987481087,82.48193811825846,0.004559102820327477,82.10760112241094,0.0003414855278067944
13,609,0.275341796875,0.0033684328966810924,0.0021644687753224106,81.71754871456648,0.007860996546443288,81.08017771754385,0.0005959687218771031
12,1078,0.2755615234375,0.003385641628518198,0.001253228785909253,81.36719312638641,0.004547892689745587,80.99881918872,0.0003453416334608823
5,3709,0.27607421875,0.003495220735971346,0.0017887362386732528,78.96361231130876,0.006479162623766835,78.45528774332534,0.0004938239596415318
12,426,0.273583984375,0.0035044173566402582,0.0015262206648523242,78.04605173667952,0.005578598066479958,77.61307956110637,0.00041754953052576034
8,4727,0.276220703125,0.0035851283937071545,0.0006195594502172593,77.02476676788956,0.0022429788941562166,76.85238848255769,0.0001711351469667498
12,667,0.2755126953125,0.003592685044101534,0.0012870171243258939,76.66578788386326,0.004671336293704389,76.30932138134663,0.0003545895568363699
9,1316,0.2749267578125,0.003578055568504513,0.0019153761734775065,76.81544825172314,0.006966834446683221,76.28399032022972,0.0005265881613654834
14,1609,0.274951171875,0.003601053528807091,0.0012304299969095813,76.33178398824542,0.004475069203923092,75.9917158011106,0.000338308169560442
7,3747,0.275146484375,0.00361954429750913,0.003202246568763587,75.99588950321527,0.011638291282355422,75.12160241273853,0.0008810868854972077
12,393,0.2742919921875,0.0036908862842704227,0.0015039934405528606,74.29589404097926,0.005483163928317817,73.8907390062236,0.0004125333570461765
13,41,0.2718994140625,0.003688947878280392,0.001133349061370606,73.68651889717529,0.004168250590122641,73.38064995967729,0.0003081569457149521
15,443,0.2748291015625,0.003746663834807205,0.0013126958065205023,73.33344549475535,0.004776390210014816,72.98484141275199,0.000360767009130891
14,1055,0.2746826171875,0.0037852820974870706,0.002467028633399919,72.54679131536578,0.008981346097957917,71.90102333995232,0.0006776498816987911
9,1894,0.2759033203125,0.0038166450105632985,0.0025243479500530485,72.27055411099893,0.009149359992601327,71.61531976944303,0.0006964759810436889
