component,layer,margin_drop,exact_match_drop
attention,0,1.5572916666666667,0.0
attention,1,2.6539713541666665,0.0
attention,2,0.5703125,0.0
attention,3,0.044270833333333336,0.0
attention,4,1.3151041666666667,0.0
attention,5,1.6145833333333333,0.0
attention,6,0.11848958333333333,0.0
attention,7,-0.10546875,0.0
attention,8,-0.2786458333333333,0.0
attention,9,-0.1328125,0.0
attention,10,-1.5143229166666667,0.0
attention,11,-0.1796875,0.0
attention,12,-0.154296875,0.0
attention,13,0.21614583333333334,0.0
attention,14,0.42578125,0.0
attention,15,0.17317708333333334,0.0
attention,16,0.328125,0.0
attention,17,0.13671875,0.0
layer,0,4.471354166666667,0.0
layer,1,4.471354166666667,0.0
layer,2,4.471354166666667,0.0
layer,3,4.471354166666667,0.0
layer,4,4.471354166666667,0.0
layer,5,4.471354166666667,0.0
layer,6,4.471354166666667,0.0
layer,7,4.471354166666667,0.0
layer,8,4.471354166666667,0.0
layer,9,4.471354166666667,0.0
layer,10,4.471354166666667,0.0
layer,11,4.471354166666667,0.0
layer,12,4.471354166666667,0.0
layer,13,4.471354166666667,0.0
layer,14,4.471354166666667,0.0
layer,15,4.471354166666667,0.0
layer,16,4.471354166666667,0.0
layer,17,4.471354166666667,0.0
mlp,0,0.56640625,0.0
mlp,1,2.11328125,0.0
mlp,2,0.9192708333333334,0.0
mlp,3,0.3365885416666667,0.0
mlp,4,0.6119791666666666,0.0
mlp,5,1.2760416666666667,0.0
mlp,6,0.78125,0.0
mlp,7,1.0,0.0
mlp,8,0.11588541666666667,0.0
mlp,9,0.7109375,0.0
mlp,10,0.07291666666666667,0.0
mlp,11,0.3203125,0.0
mlp,12,0.640625,0.0
mlp,13,0.018229166666666668,0.0
mlp,14,-0.4010416666666667,0.0
mlp,15,-0.7298177083333334,0.0
mlp,16,-0.4781901041666667,0.0
mlp,17,-1.0071614583333333,0.0
