position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation
subject,0,0.976709805511766,0.8236371227286079,0.7955009969213683,0.1530726827831581,0.0013760030269622803
subject,1,0.998522995909055,0.9929367912538124,0.9915837010187615,0.0055862046552426214,0.00013417998949686685
subject,2,0.996992237203651,0.9832360381542733,0.9807800590810883,0.013756199049377749,0.0002816518147786458
subject,3,0.9983266277445687,0.9147890335795554,0.9102187084706708,0.08353759416501327,0.00017159183820088705
subject,4,0.9973424065444204,0.9123789779503237,0.9005193608683637,0.08496342859409667,0.0006791353225708008
subject,5,0.9989078539941046,0.967803480803515,0.9642957736970856,0.031104373190589674,0.0001414318879445394
subject,6,0.9982368608315786,0.9693011103705926,0.962992347130138,0.028935750460985954,0.0002859532833099365
subject,7,0.9985516581270429,0.9815706748854031,0.9778681255359617,0.01698098324163988,0.00044018030166625977
subject,8,0.9982232587205039,0.9856634198716192,0.9819767696989907,0.012559838848884675,0.00064125657081604
subject,9,0.9982723906636238,0.9875389605309024,0.9825228053998823,0.010733430132721433,0.0007512072722117106
subject,10,0.9980000908176104,0.9897556482278036,0.9841999096149164,0.008244442589806833,0.0009192228317260742
subject,11,0.9911898511979315,0.9581143719228831,0.940454649604443,0.03307547927504839,0.00589876373608907
subject,12,0.9896113947033882,0.8943359861771266,0.8696265358063909,0.0952754085262616,0.005600631237030029
subject,13,0.9911551069882181,0.9291356752880595,0.9111510957099704,0.062019431700158556,0.004197140534718831
subject,14,0.9847868776983685,0.9184298181172573,0.8966598800668079,0.06635705958111116,0.007824281851450602
subject,15,0.9834587913420465,0.9003386123839653,0.8710456555450542,0.08312017895808121,0.008192946513493856
subject,16,0.9863457906577322,0.9326990567373507,0.9126984398449874,0.05364673392038155,0.007098654905954997
subject,17,0.9168118226859304,0.6027001274485057,0.46998654067823353,0.31411169523742477,0.07688979307810466
preanswer,0,0.8736410879426533,0.9051087267245307,0.9027801791982104,-0.031467638781877416,0.12016704678535461
preanswer,1,0.9846419675482644,0.988411893221465,0.9876746486587864,-0.003769925673200669,0.0130825142065684
preanswer,2,0.9754706664217843,0.9815287496104385,0.9801964877069824,-0.006058083188654195,0.020359516143798828
preanswer,3,0.9292537732256784,0.946889367846377,0.9425232624014218,-0.017635594620698636,0.05820196866989136
preanswer,4,0.9385953209466404,0.9537605899188555,0.9514362459355551,-0.01516526897221504,0.05345080296198527
preanswer,5,0.9556951291031308,0.9666415485130115,0.9642130703070304,-0.010946419409880725,0.03799402713775635
preanswer,6,0.9642562510238754,0.9729929396148884,0.9704820406959496,-0.008736688591013064,0.028500139713287354
preanswer,7,0.9810520711872313,0.9855654943169969,0.9841654354137265,-0.004513423129765659,0.015527278184890747
preanswer,8,0.9798416558239195,0.9846834517563834,0.9832606800029882,-0.0048417959324639215,0.016905367374420166
preanswer,9,0.9758747705154949,0.9816242364658551,0.9794000524432502,-0.005749465950360189,0.020134150981903076
preanswer,10,0.9823190222183863,0.986236281636538,0.9820399779127911,-0.003917259418151686,0.013506084680557251
preanswer,11,0.9510842104752858,0.9615356025144909,0.9461863795295358,-0.010451392039205087,0.036063561836878456
preanswer,12,0.9473026424646378,0.8329627031968398,0.7981842613623787,0.11433993926779795,0.03462494413057963
preanswer,13,0.9587938282224867,0.9230417980163387,0.8975676421955642,0.03575203020614803,0.024662683407465618
preanswer,14,0.9635114032361243,0.93900270617821,0.9172868170801343,0.024508697057914253,0.022707700729370117
preanswer,15,0.9556625343031353,0.9106763441115617,0.8771423733793199,0.04498619019157357,0.02662535508473714
preanswer,16,0.9685878233777152,0.9447029847990382,0.9252475286859811,0.02388483857867696,0.017817209164301556
preanswer,17,0.7949087561832534,0.7194289647437858,0.6058995220370383,0.07547979143946759,0.16402045885721842
