position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation
subject,0,0.9026339602139261,0.7179726699762272,0.6782857937350248,0.18466129023769884,0.07451250155766805
subject,1,0.9332426253292295,0.7459686774816928,0.7106592813584333,0.1872739478475367,0.04852570096651713
subject,2,0.9333627525303099,0.7456706200190114,0.7095986393500223,0.18769213251129846,0.0466678241888682
subject,3,0.9073607256015142,0.7018912251361392,0.6500915485473039,0.20546950046537493,0.06463463107744853
subject,4,0.9007423828045528,0.678886914597542,0.6212669874657877,0.22185546820701074,0.07587411999702454
subject,5,0.8908392977383401,0.6712470138981712,0.6078162767212941,0.21959228384016893,0.08543399969736735
subject,6,0.895111673573653,0.7273401320770835,0.6680400854506944,0.16777154149656948,0.07039969166119893
subject,7,0.8960220696197616,0.750454307539445,0.6816708019093818,0.14556776208031663,0.0658234457174937
subject,8,0.8972474546896086,0.7482554771570545,0.6787689979627936,0.1489919775325541,0.06809662779172261
subject,9,0.895689326690303,0.7559836112470789,0.687947224387123,0.13970571544322408,0.06757407387097676
subject,10,0.8880469009280205,0.7525098130389145,0.6803452121857037,0.135537087889106,0.0724463164806366
subject,11,0.8879099407129818,0.7542850202513915,0.6787322652228694,0.13362492046159025,0.07319117585817973
subject,12,0.8908622104260656,0.755485033949442,0.6726942117093131,0.13537717647662362,0.0740637977917989
subject,13,0.8920576554205683,0.7731312881647185,0.6909583598853917,0.11892636725584971,0.06760506828625996
subject,14,0.901418670349651,0.7988953614438122,0.7193688112569766,0.10252330890583872,0.05803630749384562
subject,15,0.914198742641343,0.8092994224167231,0.7232972492282796,0.1048993202246199,0.05425015091896057
subject,16,0.9238708835509089,0.8182384485773968,0.7328343531763595,0.10563243497351205,0.04939057429631551
subject,17,0.922446582880285,0.8153214309364557,0.7292127834684733,0.10712515194382932,0.051003734270731606
subject,18,0.9166162631577915,0.8119294681670991,0.7228201507125049,0.10468679499069244,0.0548804501692454
subject,19,0.9162786743707128,0.8322013583937378,0.7478738619609633,0.08407731597697499,0.052059938510258995
subject,20,0.9068946404589547,0.8217402421276677,0.7315117991270704,0.08515439833128702,0.058118611574172974
subject,21,0.9068302383025487,0.8332438408989798,0.7503007646675945,0.07358639740356887,0.06104278564453125
subject,22,0.898197065293789,0.834265732099161,0.7550699972883902,0.06393133319462796,0.06301201383272807
subject,23,0.8841300504075156,0.8209726799731002,0.7320570266391668,0.06315737043441538,0.06827721993128459
subject,24,0.8949463917149438,0.8438458341879375,0.7669858777507519,0.051100557527006374,0.05922320485115051
subject,25,0.8825603321194648,0.834154104644602,0.7461712360563171,0.048406227474862784,0.06574023763338725
subject,26,0.8732644142376051,0.8220820392058654,0.7314553171667891,0.051182375031739724,0.06197874744733175
subject,27,0.8728471332126193,0.8156407452498873,0.7302554769118109,0.05720638796273203,0.056624790032704674
subject,28,0.8768986125787099,0.8287357548251748,0.7491368081821647,0.04816285775353513,0.04983511567115784
subject,29,0.8954961763487922,0.8591880588933374,0.7919916562774839,0.036308117455454814,0.038515220085779824
subject,30,0.9013831583989991,0.8649212898968747,0.8044605305832293,0.036461868502124406,0.035732547442118325
subject,31,0.8385050376256307,0.819452821113395,0.7488109066332173,0.019052216512235653,0.09075095256169637
preanswer,0,0.7833895093864864,0.837445214751995,0.828712663300232,-0.05405570536550852,0.19534899791081747
preanswer,1,0.8370684347218937,0.8774386005871224,0.8707402698023038,-0.04037016586522868,0.14605403939882913
preanswer,2,0.8084823603431384,0.8557438024855925,0.8469952247234889,-0.04726144214245409,0.17069903016090393
preanswer,3,0.761417041056686,0.8201499669840842,0.8075139503874299,-0.058732925927398205,0.21040241916974387
preanswer,4,0.7430733253558477,0.8062751229852438,0.7927859076531604,-0.06320179762939615,0.22639353076616922
preanswer,5,0.7235903844237328,0.7916231516974442,0.7727922394690622,-0.06803276727371144,0.24158895015716553
preanswer,6,0.7051527745193905,0.7779166952904427,0.7596308485811784,-0.0727639207710522,0.2586444616317749
preanswer,7,0.7148857826987902,0.7836741191532576,0.7638426207600989,-0.06878833645446736,0.249791552623113
preanswer,8,0.7304870852165752,0.79530043436045,0.775793700114203,-0.06481334914387471,0.23367958267529806
preanswer,9,0.7464990241660012,0.8070090783251958,0.7884318045055908,-0.060510054159194526,0.21708850065867105
preanswer,10,0.7436796213189761,0.804887138939265,0.7869162069219682,-0.061207517620288865,0.2203929920991262
preanswer,11,0.7419591363933351,0.8035036192586025,0.7856447817602505,-0.06154448286526737,0.22222918272018433
preanswer,12,0.752113871773084,0.8112996836051797,0.7934792598399023,-0.0591858118320957,0.21359274784723917
preanswer,13,0.7452552528844939,0.8061284428293055,0.7879778402960963,-0.06087318994481161,0.22067058086395264
preanswer,14,0.7568761010964712,0.8150572977395671,0.7923500691126618,-0.058181196643095956,0.20799320936203003
preanswer,15,0.7617820451656977,0.8178730561200417,0.7874126283270825,-0.05609101095434399,0.2047269344329834
preanswer,16,0.7753617039985127,0.827323325520212,0.7977663757900397,-0.051961621521699364,0.1914949119091034
preanswer,17,0.7735459299551116,0.8260001190796946,0.7975768835154465,-0.052454189124582995,0.19205495715141296
preanswer,18,0.7727094254559941,0.8256418055770072,0.7974413047260087,-0.05293238012101309,0.1946798861026764
preanswer,19,0.7748167721761597,0.8273506603231936,0.7983545760080839,-0.05253388814703386,0.19407735268274942
preanswer,20,0.7614622447225783,0.817166374973727,0.7858800141994531,-0.05570413025114873,0.2077711522579193
preanswer,21,0.7911855510539478,0.8398871370111451,0.8064853236182696,-0.04870158595719731,0.18125482400258383
preanswer,22,0.7951516050431463,0.8427976945810246,0.8120659662358877,-0.0476460895378783,0.179496039946874
preanswer,23,0.7979752600193024,0.8410794363667567,0.7665721527249035,-0.04310417634745434,0.17053130269050598
preanswer,24,0.8306993029183811,0.8627354320138693,0.7910950226942077,-0.03203612909548814,0.1376128296057383
preanswer,25,0.835711832013395,0.8633557164985122,0.7735489478231304,-0.02764388448511712,0.1283442278703054
preanswer,26,0.836351630753941,0.8202761801354813,0.7122604565164592,0.01607545061845972,0.11641122897466023
preanswer,27,0.8327843407789867,0.7693187559418606,0.6643020391464234,0.06346558483712605,0.110075443983078
preanswer,28,0.8385054840809769,0.778977068812784,0.6730119932753345,0.05952841526819297,0.09664183855056763
preanswer,29,0.8576560126410591,0.8057957212694666,0.7139441638279499,0.051860291371592426,0.07469261686007182
preanswer,30,0.8612896841433313,0.8072757229547609,0.7260114889346166,0.05401396118857038,0.07145963112513225
preanswer,31,0.8197875884672006,0.8156948911703445,0.7561905318010961,0.004092697296856018,0.1382331152757009
