position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation
subject,0,0.9546950802517434,0.7973850490809127,0.7837062065082137,0.15731003117083076,0.008608500162760416
subject,1,0.9971885636448861,0.9917649269104004,0.9906425415072591,0.005423636734485648,0.0003847380479176839
subject,2,0.9954478477438291,0.9873735188196103,0.9859210197580979,0.008074328924218777,0.0007090568542480469
subject,3,0.9974205762147903,0.9375705858071645,0.9297198205022141,0.05984999040762584,0.00040721893310546875
subject,4,0.9960078224539757,0.9307198458661635,0.917154781613499,0.06528797658781216,0.0007148385047912598
subject,5,0.9984243169426918,0.9758572328835726,0.971019844757393,0.022567084059119225,0.0003529787063598633
subject,6,0.9978175853689512,0.978838199004531,0.9719010027358308,0.018979386364420203,0.00040990114212036133
subject,7,0.9987189576029778,0.9882033366709948,0.9833070349413902,0.010515620931982994,0.0004611512025197347
subject,8,0.9985007286071778,0.9913197953253985,0.987592227710411,0.007180933281779267,0.0005397200584411621
subject,9,0.9984031548102696,0.9912364672869444,0.9862913890508935,0.007166687523325277,0.0006385644276936849
subject,10,0.9978808959325155,0.9921523445596298,0.9861760053783655,0.0057285513728857484,0.0009565254052480062
subject,11,0.9937370240688324,0.9696968777726094,0.950880263489671,0.024040146296222975,0.003376831610997518
subject,12,0.9893016224106153,0.8912516028930744,0.8644977872725577,0.09805001951754089,0.003678510586420695
subject,13,0.991593462228775,0.9278065136323372,0.9078122484032065,0.06378694859643774,0.002837568521499634
subject,14,0.9890636478861173,0.9188212060679992,0.8965220522601157,0.07024244181811812,0.004289666811625163
subject,15,0.9884961977601051,0.911427407960097,0.8877708094660193,0.07706878980000809,0.004433582226435344
subject,16,0.9908433695634206,0.9394278136392434,0.9222897623199969,0.051415555924177125,0.003893097241719564
subject,17,0.9522413382927577,0.6775579087436199,0.5804098280903418,0.2746834295491378,0.02535151441891988
preanswer,0,0.8040144155422847,0.8529844498882692,0.8505401889327914,-0.04897003434598446,0.18871435523033142
preanswer,1,0.9774972314635912,0.9831092425932487,0.9824083521030843,-0.005612011129657479,0.020254095395406086
preanswer,2,0.9729042505224546,0.9796556320041419,0.9783802638761699,-0.006751381481687302,0.02305336793263753
preanswer,3,0.9271145805716514,0.945311792815725,0.9418722679140046,-0.018197212244073557,0.06193997462590536
preanswer,4,0.8730601747830709,0.9046729230632384,0.901992622227408,-0.03161274828016758,0.12013972798983256
preanswer,5,0.954180970788002,0.9655590869486332,0.9634798597544432,-0.011378116160631224,0.03937608003616333
preanswer,6,0.9734564185142517,0.9800031283249457,0.9771952480310574,-0.006546709810694051,0.0199585755666097
preanswer,7,0.9809783548116684,0.9856745547304551,0.9844694212311879,-0.00469619991878667,0.015785326560338337
preanswer,8,0.9847998554507892,0.9885320949057738,0.9873972425470129,-0.003732239454984576,0.012404044469197592
preanswer,9,0.977289080619812,0.9828575726598501,0.9805031874217093,-0.005568492040038064,0.018657445907592773
preanswer,10,0.9814771379033724,0.9858285884062449,0.9816533382982016,-0.004351450502872445,0.014100074768066406
preanswer,11,0.9416721185048421,0.9553505038221677,0.9402332807891071,-0.01367838531732557,0.04175443450609843
preanswer,12,0.930973286430041,0.8539675070593754,0.8161095069022849,0.07700577937066555,0.037138779958089195
preanswer,13,0.9468479971090953,0.9164846169451872,0.8886578255333006,0.03036338016390805,0.0267392098903656
preanswer,14,0.9498618255058925,0.9299156388888756,0.9048593187239021,0.01994618661701686,0.027024894952774048
preanswer,15,0.9283029908935229,0.887984270354112,0.849581903940998,0.04031872053941088,0.039859384298324585
preanswer,16,0.9445495242873828,0.9230295392374198,0.8967000161297619,0.021519985049962997,0.030618051687876385
preanswer,17,0.3729697361200427,0.4452714406773642,0.3652278287572699,-0.07230170455732149,0.6989153176546097
