position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation
subject,0,0.9127637406190237,0.6744730481257041,0.6523259796318598,0.23829069249331958,0.0604646106561025
subject,1,0.9398483475049336,0.7146732101216913,0.7076024162699468,0.22517513738324235,0.03872524698575338
subject,2,0.9390611330668132,0.7188303074489037,0.7078585509676486,0.2202308256179094,0.03884851932525635
subject,3,0.9156267126401265,0.6761493466173609,0.6529389274655841,0.2394773660227656,0.052175561587015785
subject,4,0.9097362806399664,0.658387316390872,0.6276704598334618,0.25134896424909436,0.0625310738881429
subject,5,0.8995400905609131,0.6339860854670405,0.6030417459784075,0.2655540050938726,0.07302657763163249
subject,6,0.9037719811002414,0.6802785743648807,0.6571910502854734,0.22349340673536067,0.05931827425956726
subject,7,0.9052033548553785,0.7074689963211616,0.6745484724640847,0.19773435853421695,0.05412095785140991
subject,8,0.9048421740531921,0.7011428151279688,0.6658513799891808,0.20369935892522328,0.05767183502515157
subject,9,0.9037721996506055,0.709040694932143,0.6737218222930096,0.19473150471846257,0.05634512503941854
subject,10,0.8958684181173643,0.7075825247913599,0.6674088460858911,0.18828589332600443,0.06130595008532206
subject,11,0.8955145210027695,0.7106650488451123,0.6682478315662592,0.18484947215765724,0.061817566553751625
subject,12,0.8986108819643657,0.7147963962207238,0.6663920989609323,0.1838144857436419,0.06131845712661743
subject,13,0.9000710959235827,0.7370471944411595,0.6874956393497996,0.16302390148242318,0.05526918172836304
subject,14,0.9089916984240214,0.768069394553701,0.7182191661093384,0.14092230387032034,0.04762245217959086
subject,15,0.9207248732447624,0.7827463238189618,0.7247476600809023,0.13797854942580057,0.04470892747243246
subject,16,0.9292700658241908,0.7950888010362784,0.7347921557258814,0.13418126478791237,0.041115413109461464
subject,17,0.9272141550978025,0.7915278435995181,0.7322591661009937,0.13568631149828436,0.042840421199798584
subject,18,0.922284231086572,0.7865017058948676,0.7250401686877013,0.13578252519170442,0.04586291313171387
subject,19,0.921518991390864,0.8123795070995887,0.7517997357295826,0.10913948429127529,0.04336792230606079
subject,20,0.9129122669498125,0.7995631725837787,0.7354358866112307,0.1133490943660338,0.0484982430934906
subject,21,0.9119526421030363,0.8157261244952678,0.7550147996982559,0.09622651760776846,0.052170117696126304
