position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation,model_name,model_variant
subject,0,0.9989220003286996,0.8869196869846847,0.9140186749088268,0.112002313344015,0.0006710986296335,gemma_270m_base,base
subject,1,0.9998923821581734,0.9960913295961088,0.9968890925714126,0.0038010525620645,7.468461990356445e-05,gemma_270m_base,base
subject,2,0.9998020240002208,0.9929601777758864,0.9942780886000644,0.0068418462243344,0.0001334647337595,gemma_270m_base,base
subject,3,0.9998934658037292,0.9396337020314404,0.9545829844040176,0.0602597637722889,5.547205607096354e-05,gemma_270m_base,base
subject,4,0.9992997869849204,0.9321328674753508,0.9476716759769866,0.0671669195095697,0.0005506575107574,gemma_270m_base,base
subject,5,0.9998118289642864,0.9789195942382016,0.9837457962955036,0.0208922347260845,0.0001040001710255,gemma_270m_base,base
subject,6,0.999585882657104,0.9790265440113016,0.9838276762360086,0.0205593386458025,0.0002844234307607,gemma_270m_base,base
subject,7,0.9994125871194732,0.9889286015596654,0.9911722394172102,0.0104839855598078,0.0004254579544067,gemma_270m_base,base
subject,8,0.9991407353017066,0.9909113057785564,0.9922915633457402,0.0082294295231502,0.0006395578384399,gemma_270m_base,base
subject,9,0.9989409256312582,0.9925787548224132,0.9933474775558958,0.0063621708088451,0.0008497337500254,gemma_270m_base,base
subject,10,0.9985049424899948,0.9937693068964614,0.9937371348496526,0.0047356355935335,0.0011875132719675,gemma_270m_base,base
subject,11,0.9900465789768432,0.9690732908331684,0.972008147276938,0.0209732881436746,0.0090895493825276,gemma_270m_base,base
subject,12,0.9905790471368364,0.9299611010485224,0.9424784732206414,0.060617946088314,0.0083223382631937,gemma_270m_base,base
subject,13,0.9927157883842788,0.9632522161636088,0.9687345522300652,0.0294635722206698,0.0062496066093444,gemma_270m_base,base
subject,14,0.9874801850981184,0.9599051721807984,0.9643224983786544,0.02757501291732,0.0110494494438171,gemma_270m_base,base
subject,15,0.9860973440938524,0.9406902918385136,0.946762578173851,0.045407052255339,0.0116398135821024,gemma_270m_base,base
subject,16,0.9877549997634358,0.95776392146945,0.9611248622337976,0.0299910782939858,0.0104292929172515,gemma_270m_base,base
