position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation
subject,0,0.672809454301993,0.352065369189303,0.45240680743881967,0.32074408511269004,0.34203067421913147
subject,1,0.8083277940750122,0.5176684201901985,0.6008972468747137,0.29065937388481367,0.19278556108474731
subject,2,0.7493702541622851,0.4772078092209995,0.5574345464507738,0.2721624449412856,0.24259192744890848
subject,3,0.7467022699614366,0.50589821063396,0.5771938901355801,0.24080405932747662,0.2322793503602346
subject,4,0.7444664819373025,0.5245925505749054,0.5877971969312057,0.21987393136239708,0.20673256119092306
subject,5,0.7317823477917247,0.5089453440159559,0.5691846495028585,0.22283700377576876,0.2360801895459493
subject,6,0.7305947587721877,0.48499050131067634,0.5514934146970821,0.24560425746151138,0.25171202421188354
subject,7,0.7517449806133906,0.5163512109364901,0.5786930237857936,0.2353937696769005,0.22853160897890726
subject,8,0.7708139965931574,0.5366743377202915,0.5969702237052843,0.23413965887286592,0.20715059836705527
subject,9,0.7891076480348905,0.5800143455465635,0.6337484593580788,0.20909330248832703,0.1782015860080719
subject,10,0.7827573062645065,0.575755323179894,0.6249116491526365,0.20700198308461248,0.18528852860132852
subject,11,0.7696707886126306,0.5583954541426566,0.6095054774777964,0.21127533446997404,0.20107752084732056
subject,12,0.7801733728912141,0.5880396441659994,0.6346115152506778,0.19213372872521473,0.18709846337636313
subject,13,0.7704108663731151,0.5944390135506789,0.6393983545325076,0.17597185282243621,0.19481012225151062
subject,14,0.7326548939777745,0.5858255127030942,0.621466538325573,0.14682938127468026,0.23215252161026
subject,15,0.7286377391881413,0.5704660050364004,0.6086682793490278,0.1581717341517409,0.2382067342599233
subject,16,0.7250756099820137,0.5951279395570358,0.629132579274786,0.1299476704249779,0.22339549660682678
subject,17,0.7252696024047004,0.6125049996707175,0.6449396691750735,0.11276460273398292,0.22801605860392252
subject,18,0.7219644673168659,0.6293395613837574,0.6538505313607553,0.09262490593310857,0.2295145591100057
subject,19,0.6918831119934717,0.6277663260180917,0.6462920351380793,0.06411678597538006,0.24431919058163962
subject,20,0.7125338671935929,0.671405617458125,0.6769699515619626,0.041128249735467914,0.21874125798543295
subject,21,0.7780053814252218,0.7290678416482277,0.7375722565921023,0.04893753977699411,0.16975462436676025
subject,22,0.7834294678436385,0.7397164822452598,0.7460703671288987,0.04371298559837877,0.16242823004722595
subject,23,0.5789623012145361,0.5491991990970241,0.560654736822471,0.029763102117511986,0.35539235174655914
preanswer,0,0.3849012868271934,0.537358197176622,0.5374825003479297,-0.15245691034942865,0.6142113457123438
preanswer,1,0.6024321114851369,0.7001777280949883,0.6994479732432713,-0.09774561660985148,0.39500754078229267
preanswer,2,0.4563248236146238,0.5900684278458357,0.5879130740649998,-0.1337436042312119,0.5399189541737238
preanswer,3,0.4859304821325673,0.6119383838441637,0.6088608331823101,-0.12600790171159637,0.5085947612921397
preanswer,4,0.48874610828028786,0.6112190959975123,0.6073090713083124,-0.12247298771722448,0.5045993477106094
preanswer,5,0.4837317239079211,0.6085954283674558,0.600198681311061,-0.12486370445953476,0.5054702659447988
preanswer,6,0.4758138209581375,0.6031304171515836,0.5927853991355126,-0.12731659619344604,0.5119229455788931
preanswer,7,0.5132151254349284,0.6316199988747636,0.6197861597562829,-0.11840487343983519,0.47260397175947827
preanswer,8,0.5151124017106162,0.6315924079260893,0.6207240597577766,-0.11648000621547305,0.4707828213771184
preanswer,9,0.558178585436609,0.6644470495068364,0.6534572163363919,-0.10626846407022739,0.4274487892786662
preanswer,10,0.5385384638276365,0.6494260966363881,0.6349645044732218,-0.11088763280875158,0.44683031737804413
preanswer,11,0.5503208231594827,0.6595327479557859,0.6439774190851798,-0.10921192479630315,0.43343303104241687
preanswer,12,0.5597345601353381,0.6662249185351862,0.6508597955107689,-0.1064903583998481,0.4253435830275218
preanswer,13,0.5713883667356439,0.6752425577077601,0.6609315027405197,-0.10385419097211623,0.4139990011850993
preanswer,14,0.6402421568830808,0.7249370285620292,0.6904208769168084,-0.0846948716789484,0.34254493316014606
preanswer,15,0.6464685441719161,0.7293007867410779,0.6851891688226411,-0.08283224256916177,0.3355885644753774
preanswer,16,0.6913595464494493,0.7634794206048051,0.7190861970108623,-0.07211987415535581,0.28697917858759564
preanswer,17,0.7472447711560462,0.8026825274444289,0.7693575235704581,-0.05543775628838277,0.22863832116127014
preanswer,18,0.7597905612654157,0.8130960764570369,0.761675304810827,-0.05330551519162119,0.20896321535110474
preanswer,19,0.7490617740485404,0.8049713025490443,0.7449381637076536,-0.0559095285005039,0.21351167559623718
preanswer,20,0.7550476632184453,0.7937465550171005,0.711635081951196,-0.038698891798655155,0.2027905285358429
preanswer,21,0.7684952020645142,0.7575633218511939,0.7105144105153158,0.010931880213320255,0.18201286594072977
preanswer,22,0.7564044565790229,0.7388162637750307,0.6996263016480953,0.017588192803992153,0.1961537500222524
preanswer,23,0.4175140865328204,0.491995429341235,0.45365361746583704,-0.07448134280841462,0.5865377703060707
