model_name,model_variant,best_family,worst_family,layer_strategy,early_layer,late_layer,num_holdout_facts,project_best_answer_f1_delta_mean,project_best_selectivity_delta_mean,project_best_alignment_delta_mean,project_best_control_answer_f1_delta_mean,project_best_control_selectivity_delta_mean,project_best_control_alignment_delta_mean,project_best_random_answer_f1_delta_mean,project_best_random_selectivity_delta_mean,project_best_random_alignment_delta_mean,patch_worst_answer_f1_delta_mean,patch_worst_selectivity_delta_mean,patch_worst_alignment_delta_mean,patch_worst_control_answer_f1_delta_mean,patch_worst_control_selectivity_delta_mean,patch_worst_control_alignment_delta_mean,patch_worst_random_answer_f1_delta_mean,patch_worst_random_selectivity_delta_mean,patch_worst_random_alignment_delta_mean,patch_worst_answer_f1_improve_rate,patch_worst_alignment_improve_rate,project_best_alignment_drop_rate,project_target_stronger_than_control_rate,project_target_stronger_than_random_rate,patch_target_stronger_than_control_rate,patch_target_stronger_than_random_rate
gemma_270m_base,base,declarative,qa,plus_one,1,12,20,-0.1425072150072149,-0.1482647907647907,-0.1146216094493866,-0.1004040404040404,-0.1141414141414141,-0.073590138554573,-0.029570707070707,-0.0206818181818181,-0.0434060126543045,0.0824170274170274,0.0631313131313131,0.0085964441299438,0.0016161616161616,0.0016161616161616,-0.0385337859392166,-0.1312373737373737,-0.075510878010878,-0.1081258535385131,0.25,0.9,0.8,0.65,0.7,0.9,1.0
gemma_270m_base,base,declarative,qa,primary,0,12,20,-0.0992929292929293,-0.059090909090909,-0.1390923708677292,-0.0709235209235209,-0.0489033189033189,-0.0438538074493408,0.0133694083694083,0.0124603174603174,-0.001309260725975,0.0488383838383838,0.0238383838383838,0.0096279650926589,-0.0683838383838383,-0.0222727272727272,-0.0485526621341705,-0.1203282828282828,-0.067550505050505,-0.0817559033632278,0.15,0.9,0.85,0.7,0.85,0.95,1.0
gemma_270m_it,instruct,raw_question,declarative,plus_one,1,12,20,-0.2703968253968254,-0.1631746031746031,-0.0836155533790588,-0.2203968253968254,-0.127063492063492,-0.0521266818046569,-0.097020202020202,-0.0236868686868686,-0.0215641170740127,-0.040515873015873,-0.0324603174603174,0.0018222272396087,-0.1518650793650793,-0.1242135642135641,-0.0304901182651519,-0.1538852813852814,-0.1151226551226551,-0.0725684762001037,0.1,0.6,0.95,0.75,0.85,1.0,0.95
gemma_270m_it,instruct,raw_question,declarative,primary,0,12,20,-0.1627777777777778,-0.0888888888888889,-0.0610871732234954,-0.1003968253968254,-0.0687301587301587,-0.011027392745018,0.0,0.0,-0.0005095988512039,-0.1057539682539682,-0.081511544011544,-0.0076697498559951,-0.1282539682539682,-0.093531746031746,-0.0324737221002578,-0.1427741702741702,-0.1342135642135642,-0.0580191284418106,0.1,0.35,0.8,0.7,0.8,0.8,0.9
qwen2_5_0_5b_base,base,qa,raw_question,plus_one,1,21,20,0.0577777777777777,0.0005555555555555,-0.0264831870794296,0.0513888888888888,-0.0086111111111111,-0.0009047448635101,0.0,0.0,-1.3703107833862303e-05,-0.0125,-0.0125,-0.0012340426445007,0.0358333333333333,0.0075,-0.0079301953315734,0.0041666666666666,0.0441666666666666,-0.0060478657484054,0.0,0.65,0.8,0.75,0.75,0.85,0.65
qwen2_5_0_5b_base,base,qa,raw_question,primary,0,21,20,-0.0072222222222222,0.0063888888888888,-0.0278349012136459,0.0027777777777777,0.0013888888888888,-0.0031031638383865,0.0,-0.0166666666666666,-3.961026668548584e-05,-0.0125,-0.0125,-0.0014417380094528,-0.0125,-0.0125,-0.0060698717832565,0.0386111111111111,0.0186111111111111,-0.0081617087125778,0.0,0.55,0.7,0.7,0.7,0.65,0.75
qwen2_5_0_5b_instruct,instruct,chat_template,declarative,plus_one,1,21,20,-0.0583333333333333,-0.055,-0.0750200062990188,-0.0072222222222222,0.0005555555555555,-0.0055975407361984,-0.0177777777777777,-0.0011111111111111,0.0001657009124755,-0.0158008658008657,-0.0167099567099567,-0.026221340894699,-0.0185714285714285,-0.0142857142857142,-0.0396473556756973,-0.0185714285714285,-0.0324675324675324,-0.0353884130716323,0.05,0.3,0.95,0.9,0.9,0.6,0.7
qwen2_5_0_5b_instruct,instruct,chat_template,declarative,primary,0,21,20,0.0049999999999999,0.0,-0.0691617786884307,-0.0302777777777777,-0.0227777777777777,-0.0054810851812362,-0.0177777777777777,-0.0177777777777777,0.0001147091388702,-0.0144877344877344,-0.0292929292929292,-0.024499174952507,-0.0063492063492063,-0.0031746031746031,-0.0401890218257904,-0.0267099567099567,-0.0144444444444444,-0.0484201490879058,0.05,0.25,0.65,0.8,0.6,0.45,0.65
smollm2_360m_base,base,qa,chat_template,plus_one,1,26,20,-0.098531746031746,-0.0842460317460317,-0.0164325207471847,-0.0316269841269841,-0.0399603174603174,-0.0032074093818664,0.0378571428571428,0.0396428571428571,-0.0002123057842254,-0.0511904761904761,-0.0494047619047619,-0.0008921295404434,-0.0706349206349206,-0.0700036075036075,-0.0050436913967132,-0.0095238095238095,-0.0168290043290043,-0.0050045520067214,0.05,0.25,0.8,0.65,0.8,0.6,0.5
smollm2_360m_base,base,qa,chat_template,primary,0,26,20,-0.0699603174603174,-0.0853968253968254,-0.0172027856111526,-0.0513888888888889,-0.0611111111111111,-0.0057832568883895,0.03,0.03,-0.0003008425235748,-0.0485714285714285,-0.0470238095238095,-0.0003627061843872,-0.0834920634920634,-0.0729797979797979,-0.0049762666225433,-0.0009523809523809,-0.0176190476190476,-0.0044286042451858,0.1,0.3,0.85,0.4,0.85,0.75,0.65
