model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_base,base,capital,capital:14,capital:15,qa,chat_template,primary,0,26,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.06472361087799072,0.06943243741989136,0.004708826541900635,0.33333333333333337,0.0,0.33333333333333337,0.0,0.06452852487564087,-0.00019508600234985352,0.33333333333333337,0.0,0.33333333333333337,0.0,0.06382864713668823,-0.0008949637413024902,1.0,0.0,-1.0,1.0,0.0,-1.0,0.018927931785583496,0.015325009822845459,-0.003602921962738037,0.2857142857142857,-0.7142857142857143,0.2857142857142857,-0.7142857142857143,0.008164405822753906,-0.01076352596282959,1.0,0.0,1.0,0.0,0.01471412181854248,-0.004213809967041016
smollm2_360m_base,base,capital,capital:15,capital:16,qa,chat_template,primary,0,26,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.11137491464614868,0.09165632724761963,-0.019718587398529053,0.33333333333333337,0.0,0.33333333333333337,0.0,0.08876544237136841,-0.022609472274780273,0.33333333333333337,0.0,0.33333333333333337,0.0,0.11164522171020508,0.0002703070640563965,1.0,1.0,0.0,1.0,1.0,0.0,0.021628379821777344,0.025873303413391113,0.0042449235916137695,1.0,0.0,1.0,0.0,0.027889728546142578,0.006261348724365234,1.0,0.0,1.0,0.0,0.029712975025177002,0.008084595203399658
smollm2_360m_base,base,capital,capital:16,capital:17,qa,chat_template,primary,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.0915226936340332,0.08412909507751465,-0.007393598556518555,0.25,0.0,0.25,0.0,0.0833393931388855,-0.008183300495147705,0.25,0.0,0.25,0.0,0.09155958890914917,3.68952751159668e-05,0.2857142857142857,0.33333333333333337,0.04761904761904767,0.2857142857142857,0.33333333333333337,0.04761904761904767,0.020324230194091797,0.02564263343811035,0.005318403244018555,0.2857142857142857,0.0,0.2857142857142857,0.0,0.024427592754364014,0.004103362560272217,0.2857142857142857,0.0,0.2857142857142857,0.0,0.023535728454589844,0.003211498260498047
smollm2_360m_base,base,capital,capital:17,capital:2,qa,chat_template,primary,0,26,0.4,0.0,-0.4,0.4,0.0,-0.4,0.05996847152709961,0.05491513013839722,-0.005053341388702393,0.0,-0.4,0.0,-0.4,0.054099321365356445,-0.005869150161743164,0.4,0.0,0.4,0.0,0.05994385480880737,-2.4616718292236328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0196416974067688,0.01817142963409424,-0.0014702677726745605,0.0,0.0,0.0,0.0,0.018513023853302002,-0.0011286735534667969,0.0,0.0,0.0,0.0,0.01893603801727295,-0.0007056593894958496
smollm2_360m_base,base,official_language,official_language:14,official_language:15,qa,chat_template,primary,0,26,0.25,0.25,0.0,0.0,0.0,0.0,0.02560257911682129,0.028887808322906494,0.003285229206085205,0.25,0.0,0.0,0.0,0.025898218154907227,0.0002956390380859375,0.25,0.0,0.0,0.0,0.025276899337768555,-0.0003256797790527344,0.4,0.2857142857142857,-0.11428571428571432,0.0,0.0,0.0,0.015962660312652588,0.01370328664779663,-0.002259373664855957,0.2857142857142857,-0.11428571428571432,0.0,0.0,0.009494125843048096,-0.006468534469604492,0.2857142857142857,-0.11428571428571432,0.0,0.0,0.012499690055847168,-0.00346297025680542
smollm2_360m_base,base,official_language,official_language:15,official_language:16,qa,chat_template,primary,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.04155486822128296,0.03231489658355713,-0.00923997163772583,0.25,0.0,0.25,0.0,0.03176385164260864,-0.009791016578674316,0.25,0.0,0.25,0.0,0.04059159755706787,-0.0009632706642150879,0.5,0.5,0.0,0.5,0.5,0.0,0.02497166395187378,0.02542734146118164,0.00045567750930786133,0.5,0.0,0.5,0.0,0.024521172046661377,-0.00045049190521240234,0.5,0.0,0.5,0.0,0.024691879749298096,-0.0002797842025756836
smollm2_360m_base,base,official_language,official_language:16,official_language:17,qa,chat_template,primary,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.049774348735809326,0.03835028409957886,-0.011424064636230469,0.25,0.0,0.25,0.0,0.03670036792755127,-0.013073980808258057,0.25,0.0,0.25,0.0,0.04956233501434326,-0.00021201372146606445,0.0,0.0,0.0,0.0,0.0,0.0,0.022784709930419922,0.023266911506652832,0.00048220157623291016,0.0,0.0,0.0,0.0,0.02277839183807373,-6.318092346191406e-06,0.0,0.0,0.0,0.0,0.020685195922851562,-0.0020995140075683594
smollm2_360m_base,base,official_language,official_language:17,official_language:2,qa,chat_template,primary,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.027843236923217773,0.026106953620910645,-0.001736283302307129,0.25,0.0,0.25,0.0,0.026007115840911865,-0.0018361210823059082,0.25,0.0,0.25,0.0,0.027859210968017578,1.5974044799804688e-05,0.25,0.25,0.0,0.25,0.25,0.0,0.016217470169067383,0.015437960624694824,-0.0007795095443725586,0.25,0.0,0.25,0.0,0.015294015407562256,-0.000923454761505127,0.25,0.0,0.25,0.0,0.01582282781600952,-0.00039464235305786133
smollm2_360m_base,base,currency,currency:14,currency:15,qa,chat_template,primary,0,26,0.5714285714285715,0.8,0.22857142857142854,0.28571428571428575,0.4,0.11428571428571427,0.020970284938812256,0.02362126111984253,0.0026509761810302734,0.5714285714285715,0.0,0.28571428571428575,0.0,0.02112036943435669,0.0001500844955444336,0.5714285714285715,0.0,0.28571428571428575,0.0,0.021002352237701416,3.2067298889160156e-05,1.0,1.0,0.0,0.5,0.5,0.0,0.009073495864868164,0.007734358310699463,-0.0013391375541687012,0.4444444444444445,-0.5555555555555556,0.22222222222222224,-0.2777777777777778,0.0017934441566467285,-0.0072800517082214355,1.0,0.0,0.5,0.0,0.004552304744720459,-0.004521191120147705
smollm2_360m_base,base,currency,currency:15,currency:16,qa,chat_template,primary,0,26,0.5714285714285715,0.5714285714285715,0.0,0.5714285714285715,0.5714285714285715,0.0,0.0349467396736145,0.024112403392791748,-0.010834336280822754,0.5714285714285715,0.0,0.5714285714285715,0.0,0.023698031902313232,-0.01124870777130127,0.5714285714285715,0.0,0.5714285714285715,0.0,0.03393465280532837,-0.0010120868682861328,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.008967161178588867,0.007788896560668945,-0.0011782646179199219,0.6666666666666666,0.0,0.6666666666666666,0.0,0.00792384147644043,-0.0010433197021484375,0.6666666666666666,0.0,0.6666666666666666,0.0,0.010094165802001953,0.001127004623413086
smollm2_360m_base,base,currency,currency:16,currency:17,qa,chat_template,primary,0,26,0.5,0.6666666666666666,0.16666666666666663,0.0,0.0,0.0,0.03373086452484131,0.030040442943572998,-0.0036904215812683105,0.6666666666666666,0.16666666666666663,0.0,0.0,0.029603242874145508,-0.004127621650695801,0.5,0.0,0.0,0.0,0.033307671546936035,-0.00042319297790527344,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.017362534999847412,0.018127381801605225,0.0007648468017578125,0.6666666666666666,0.0,0.0,0.0,0.017522573471069336,0.00016003847122192383,0.6666666666666666,0.0,0.0,0.0,0.017214536666870117,-0.00014799833297729492
smollm2_360m_base,base,currency,currency:17,currency:2,qa,chat_template,primary,0,26,0.4444444444444445,0.25,-0.19444444444444448,0.22222222222222224,0.0,-0.22222222222222224,0.020962953567504883,0.02008873224258423,-0.0008742213249206543,0.25,-0.19444444444444448,0.0,-0.22222222222222224,0.02034062147140503,-0.0006223320960998535,0.4444444444444445,0.0,0.22222222222222224,0.0,0.021077990531921387,0.0001150369644165039,0.5714285714285715,0.6666666666666666,0.09523809523809512,0.28571428571428575,0.3333333333333333,0.04761904761904756,0.010428130626678467,0.00984036922454834,-0.000587761402130127,0.5714285714285715,0.0,0.28571428571428575,0.0,0.009875655174255371,-0.0005524754524230957,0.6666666666666666,0.09523809523809512,0.3333333333333333,0.04761904761904756,0.010161161422729492,-0.0002669692039489746
