model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_instruct,instruct,capital,capital:14,capital:15,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.11181187629699707,0.11196547746658325,0.00015360116958618164,0.0,0.0,0.0,0.0,0.11180555820465088,-6.318092346191406e-06,0.0,0.0,0.0,0.0,0.11200588941574097,0.00019401311874389648,0.0,0.0,0.0,0.0,0.0,0.0,-0.02147442102432251,-0.020335376262664795,0.0011390447616577148,0.0,0.0,0.0,0.0,-0.025923430919647217,-0.004449009895324707,0.0,0.0,0.0,0.0,-0.02312678098678589,-0.001652359962463379
smollm2_360m_instruct,instruct,capital,capital:15,capital:16,chat_template,qa,primary,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.14457309246063232,0.17875516414642334,0.034182071685791016,1.0,0.0,1.0,0.0,0.17749911546707153,0.03292602300643921,1.0,0.0,1.0,0.0,0.14516019821166992,0.0005871057510375977,0.0,0.0,0.0,0.0,0.0,0.0,-0.04661160707473755,-0.043809711933135986,0.0028018951416015625,0.0,0.0,0.0,0.0,-0.04436063766479492,0.002250969409942627,0.0,0.0,0.0,0.0,-0.04687756299972534,-0.00026595592498779297
smollm2_360m_instruct,instruct,capital,capital:16,capital:17,chat_template,qa,primary,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.12164318561553955,0.12944555282592773,0.007802367210388184,1.0,0.0,1.0,0.0,0.12896966934204102,0.007326483726501465,1.0,0.0,1.0,0.0,0.11878234148025513,-0.002860844135284424,0.0,0.0,0.0,0.0,0.0,0.0,-0.010020017623901367,-0.007784247398376465,0.0022357702255249023,0.0,0.0,0.0,0.0,-0.007444500923156738,0.002575516700744629,0.0,0.0,0.0,0.0,-0.01157456636428833,-0.0015545487403869629
smollm2_360m_instruct,instruct,capital,capital:17,capital:2,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.12868213653564453,0.135320246219635,0.0066381096839904785,0.0,0.0,0.0,0.0,0.13638603687286377,0.007703900337219238,0.0,0.0,0.0,0.0,0.13328176736831665,0.004599630832672119,0.0,0.0,0.0,0.0,0.0,0.0,-0.03519248962402344,-0.03427767753601074,0.0009148120880126953,0.0,0.0,0.0,0.0,-0.03474503755569458,0.0004474520683288574,0.0,0.0,0.0,0.0,-0.03995484113693237,-0.0047623515129089355
smollm2_360m_instruct,instruct,official_language,official_language:14,official_language:15,chat_template,qa,primary,0,27,0.25,1.0,0.75,0.0,0.0,0.0,0.03851717710494995,0.03490304946899414,-0.0036141276359558105,0.25,0.0,0.0,0.0,0.03730493783950806,-0.0012122392654418945,0.25,0.0,0.0,0.0,0.03775131702423096,-0.0007658600807189941,0.0,0.0,0.0,0.0,0.0,0.0,0.00046706199645996094,4.380941390991211e-05,-0.00042325258255004883,0.0,0.0,0.0,0.0,0.003136873245239258,0.002669811248779297,0.0,0.0,0.0,0.0,0.0008783340454101562,0.0004112720489501953
smollm2_360m_instruct,instruct,official_language,official_language:15,official_language:16,chat_template,qa,primary,0,27,0.25,1.0,0.75,0.25,1.0,0.75,0.05559134483337402,0.06536704301834106,0.009775698184967041,1.0,0.75,1.0,0.75,0.06895840167999268,0.013367056846618652,0.25,0.0,0.25,0.0,0.056192755699157715,0.0006014108657836914,0.0,0.0,0.0,0.0,0.0,0.0,-0.022407233715057373,-0.022930681705474854,-0.0005234479904174805,0.0,0.0,0.0,0.0,-0.02437913417816162,-0.001971900463104248,0.0,0.0,0.0,0.0,-0.019220709800720215,0.003186523914337158
smollm2_360m_instruct,instruct,official_language,official_language:16,official_language:17,chat_template,qa,primary,0,27,0.25,1.0,0.75,0.25,1.0,0.75,0.060803115367889404,0.06566417217254639,0.004861056804656982,0.25,0.0,0.25,0.0,0.0640154480934143,0.0032123327255249023,0.25,0.0,0.25,0.0,0.06005638837814331,-0.0007467269897460938,0.0,0.0,0.0,0.0,0.0,0.0,-0.006530106067657471,-0.007867991924285889,-0.001337885856628418,0.0,0.0,0.0,0.0,-0.006513059139251709,1.704692840576172e-05,0.0,0.0,0.0,0.0,-0.010204613208770752,-0.0036745071411132812
smollm2_360m_instruct,instruct,official_language,official_language:17,official_language:2,chat_template,qa,primary,0,27,0.25,1.0,0.75,0.25,1.0,0.75,0.038913071155548096,0.04291325807571411,0.004000186920166016,1.0,0.75,1.0,0.75,0.040921807289123535,0.0020087361335754395,0.25,0.0,0.25,0.0,0.03860116004943848,-0.00031191110610961914,0.0,0.0,0.0,0.0,0.0,0.0,-0.007018387317657471,-0.008977830410003662,-0.0019594430923461914,0.0,0.0,0.0,0.0,-0.00964587926864624,-0.0026274919509887695,0.0,0.0,0.0,0.0,-0.0076912641525268555,-0.0006728768348693848
smollm2_360m_instruct,instruct,currency,currency:14,currency:15,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.06418979167938232,0.0670161247253418,0.0028263330459594727,0.0,0.0,0.0,0.0,0.06479352712631226,0.0006037354469299316,0.0,0.0,0.0,0.0,0.06484025716781616,0.0006504654884338379,0.0,0.0,0.0,0.0,0.0,0.0,0.00493776798248291,0.007355451583862305,0.0024176836013793945,0.8,0.8,0.4,0.4,0.01195228099822998,0.00701451301574707,0.0,0.0,0.0,0.0,0.006261706352233887,0.0013239383697509766
smollm2_360m_instruct,instruct,currency,currency:15,currency:16,chat_template,qa,primary,0,27,0.8,0.8,0.0,0.8,0.8,0.0,0.11791032552719116,0.12226247787475586,0.004352152347564697,0.8,0.0,0.8,0.0,0.12461972236633301,0.006709396839141846,0.8,0.0,0.8,0.0,0.11693793535232544,-0.0009723901748657227,0.0,0.0,0.0,0.0,0.0,0.0,-0.029229342937469482,-0.030442893505096436,-0.0012135505676269531,0.0,0.0,0.0,0.0,-0.03166067600250244,-0.002431333065032959,0.0,0.0,0.0,0.0,-0.028062820434570312,0.00116652250289917
